0,1,2,3
20.0,0.3591,2&.'12,NaCl
24.0,0.3593,2&.43,""""
34.0,0.3&1&,2&.5&,
41.5,0.3&43,2&.70,""""
44.5,0.3&5&,2&.77,
48.1,0.3&&1,2&.80,
!>3.25,0.3&73,2&.86,
!>5.5,0.3&8&,2&.93,
!>7.0,0.3&95,2&.98,
&7.&,0.3730,27.17,
G8.0,0.3750,27.27,
73.25,0.3771,27.38,
