0,1,2
77.278.49,9.26,A
8579.92,10.1,A
90.580.98,10.8,A
9281.37,11.08,A
10082.57,12.02,A
11084.14,13.46,A
b,,
11384.67,14.02,A+B
12085.25,14.67,B
13086.13,15.76,B
13386.54,16.32,B
13787.07,17.09,B
141.287.02,17.1,B
14787.75,18.18,B
154.588.23,19.02,B
15988.74,20.0,B
16088.94,20.41,B
165.589.22,21.0,B
17289.92,22.64,B
18090.78,24.99,B
181 Bc91.10,25.98,
