0,1,2,3,4,5,6,7,8,9,10,11
in a,few mL,of water,was,poured,,,,two methods.1),Meth.,K. Large,
into,100-150,mL of,nearly saturated,,,,,Ca (OH) 2 crystals,were,formed,by
Ca (OH),2 solution.,,The,"flask,",,,,slow diffusion of,NaOH,and caC12,
equipped,with,a conductivity,,"cell,",,,,solutions into a,common,vessel,con­
was,thermostated,with,shaking,for,,,,taining water.,After,washing,and
10 -,20 hours.,The,Ca(OH)2,con­,,,,drying under protection,,from,the
centration,was,calculated,,from the,,,,atmosphere they were,ground,to,pow­
equilibrium,,conductivity,,value.,,,,der in a mortar.,2) Meth.,S.,"CaO,"
The,relation,between,conductivity,,,,,prepared by calcining,,commercial,
and,concentration,,was taken,from,,,,grade Ca(OH)2' was,slaked,with,CO2
(ref,1). The,particle,size,dis­,,,,free water to produce,a,thin milky,
