0,1,2,3,4,5,6,7,8
- 1.2,,10.3,0.34,,37.0,60.8,4.59,
- 2.3,,13.6,0.47,"""",45.1,62.1,4.85,"""?c"
- 2.8,,14.6,0.51,"""",38.1,62.7,4.97,?
- 9.9,,30.2,1.28,"""",47.1,64.8,5.45,e
-11.4,,35.1,1.60,"""",53.5,65.4,5.59,?
-18.1,,39.7,1.95,"""",56.8,66.5,5.87,?
-22.0,,44.1,2.33,"""",54.7,67.1,6.03,C
-25.8,,47.0,2.62,"""",,,,
-28.1,,48.6,2.80,"""",59.0,67.5,6.15,D
,,,,"""",73.0,70.6,7.11,
-31.6,,50.3,2.99,B,74.0,71.4,7.39,"""?"
-32.1,,52.2,3.23,,77.4,73.2,8.08,D
-20.5,,53.5,3.40,"""",87.0,75.8,9.27,?
- 1.8,,54.7,3.57,"""",77.5,78.6,10.87,?
15.4,,57.0,3.92,"""",89.2,83.7,15.19,od
