0,1,2,3,4,5,6,7,8,9,10
11 . 21 1 . 06,,,11 . 50 1 . 29,,7 7 . 28,+6 . 0,,A +,B,
13 . 44 1 . 32,,,11 . 60 1 . 34,,74 . 9 5,+14 . 2,,I I,,
12 . 7 8  1 . 3 4,,,17 . 30  2 . 15,,69 . 91,+17 . 6,,I I,,
5 . 80 0 . 53,,,14 . 7 0  1 . 60,,7 9 . 50,-4 . 5,,B +,C,
9 . 22 1 . 00,,,23 . 3 8  3 . 01,,67 . 40,+25 . 0,,A +,B,
9 . 86 0 . 88,,,8 . 33 0 . 88,,81 . 80,-4 . 0,,A +,C,
13 . 28 1 . 29,,,11 . 22 1 . 29,,7 5 . 50,+13 . 6,,A +,B,
13 . 55 1 .  32,,,11 . 4 5 1 . 3 2,,7 5 . 00,+14 . 0,,I I,,
7 . 7 2 0 . 63,,,"2 . 58 0 , 24",,89 . 7 0,-3 . 6,,A +,C,
10 . 3 0 0 . 94,,,9 . 06 0 . 98,,80 . 63,-4 . 0,,I I,,
The composition,,of,the eu t ec t ic point,,is :,,,,,
8 . 50 0 . 07,,,11 . 40  0 . 53,,80 . 10,-4 . 5,A,+  B,+,C
