0,1,2,3,4,5,6,7,8,9,10,11,12
,23,"4 , 89",,"1 , 07 9 , 7 5",,1.41,,8 5.3 6,"9 7 , 52",,,C
,24,4 . 41,,"0 , 93 6 . 66",,0 . 93,,88 . 93,98 . 14,,,t i
,2 5,6 . 35,,"1 , 38 8 . 05",,1 . 16,,8 5 . 60,9 7 . 4 6,,,
,2 6,8.50,,"1 . 92 9 , 80",,1 . 4 9,,81 . 7 0,"9 6 , 59",,,I I
,27,15 . 18,,"3 , 8 9  15 . 10",,2 . 57,,69.7 2,93 . 54,,,I I
,28,16 . 20,,4 . 24 15.98,,2 . 7 8,,67.82,"92 , 98",,,I I
,29,21 . 18,,"6 , 20 19.86",,3 . 84,,58 . 9 6,89.9 6,,,I I
,30,2 2.4 9,,6 . 7 2 20 . 45,,4 . 05,,5 7 . 06,"89 , 23",,,I I
,3 1,2 7 . 10,,"9 , 06 24.00",,5.33,,48 . 90,85 . 61,,,I I
,3 2,27 . 63,,"9 , 31 23 . 97",,5 . 36,,48.40,85 . 33,,C,+ Fe
,33,29 . 24,,"10 , 29 2 5 , 23",,5 . 8 9,,"45 , 53",83 . 82,,,?
,34,3 0 . 54,,"11 , 04 2 5.69",,6 . 16,,43 . 7 7,82 . 80,,,?
,3 5,31 . 50,,"11 , 54 2 5.58",,6 . 14,,42.92,82.32,,,D
,3 6,3 1 . 03,,11.00 24.05,,5.66,,44 . 92,83.84,,,I I
,37,"3 0 , 86",,"10 , 78 23 . 26",,"5 , 3 9",,45 . 88,83.83,,,I I
,3 8,32 . 7 0,,"11 , 54 2 2.23",,5 . 20,,45 . 07,83 . 2 6,,,I I
,39,34.38,,"12 , 38 21.90",,"5 , 23",,43.7 2,8 7 . 39,,D,+ E
,40,34 . 4 9,,12.47 2 2 . 06,,5.2 9,,4 3.45,82 . 24,,,
,41,27.05,,8 . 91 23 . 01,,5 . 03,,49 . 94,86.06,,,F
,42,"25 , 94",,"8 , 15 2 0.80",,4 . 3 3,,53 . 2 6,87 . 52,,,I I
,4 3,"24 , 9 1",,"7 , 48 18 . 8 2",,3 . 7 6,,5 6.2 7,88 . 7 6,,,I I
,44,26 . 92,,8 . 3 0  18 . 60,,"3 , 80",,54.48,8 7 . 90,,,I I
,4 5,"29 , 35",,9 . 3 6 18 . 7 2,,3 . 9 6,,"51 , 93","86 , 68",,,I I
,46,3 1 . 29,,"10 , 41 19.75",,4 . 3 6,,48 . 96,85.23,,,I I
,47,32 . 62,,11 . 07 19 . 80,,4.36,,47 . 58,84 . 48,,,
,48,32 . 83,,11 . 17 19 . 80,,4 . 4 7,,4 7 . 37,84 . 3 6,,,
,49,"32 , 28",,"10 , 85 19.53",,4 . 35,,48 . 19,84.80,,,I I
,50,31 . 26,,"10 , 07 17.55",,"3 , 6",,51.19,86.2 7,,,I I
,51,30.20,,"9 , 34 15.81",,3 . 24,,53 . 9 9,87.4 2,,,I I
,52,29.4 6,,"8 , 8 9  14 . 80",,"2 , 96",,55 . 74,88 . 15,,,I I
,53,"29 , 60",,"8 , 81 13.59",,2 . 68,,56 .81,88.51,,,I I
,54,29 . 28,,"8 , 66 13 . 4 1",,2 . 63,,57 . 31,88.71,,,
,55,29.18,,8 . 4 6  11 . 98,,2 . 30,,58.84,8 9 . 24,,,
,56,"29 , 20",,"7 , 9 7  7.25",,1 . 32,,63 . 55,"90 , 71",,,E
,5 7,29 . 16,,"7 , 90 7.76",,1 . 22,,64 . 08,"9 0 , 88",,,I I
,58,33.19,,"8 , 89 2.12",,0.38,,64 . 69,9 0.73,,,I I
,59,38 . 16,,"10 , 78 1 , 74",,"0 , 33",,60 . 10,88.89,,,I I
,60,"40 , 16",,"11 , 68 2.11",,"0 , 4 1",,57 . 7 3,87.9 1,,,I I
,6 1,4 1 . 8 2,,"12 , 52  2 , 7 0",,0.54,,5 5 . 48,8 6.94,,,
,62,3 6 . 23,,"13 , 23  21 . 04",,5 . 10,,4 2 . 7 3,81 . 6 7,,,
,6 3,3 3 . 6 5,,11.40 18.74,,4 . 21,,4 7 . 61,84 . 39,,,t i
,64,"32 , 65",,"10 , 69 17.4 5",,"3 , 7 9",,49.90,85.52,,,""""
,65,31 . 7 0,,10 . 02 15 . 9 2,,3 . 34,,52 . 38,86.64,,,t i
,66,"31 , 18",,"9 , 58 14.40",,2 . 93,,54.42,87.49,,,I I
,6 7,31 . 4 0,,"9 , 3 9 12 , 2 6",,2 . 43,,5 6 . 34,88 . 18,,,I I
,68,"3 1 , 52",,"9 , 41 12.00",,"2 , 38",,"5 6 , 48",88.21,,,t i
,69,32 . 24,,"9 , 6 0  11 . 16",,2 . 20,,5 6.60,88.20,,,I I
,70,3 6.82,,11 . 61 11 . 00,,2 . 3 0,,52 . 18,86.09,,,
,7 1,41 . 7 5,,"15 , 44 16 . 67",,4 . 09,,4 1 . 58,80 .4 7,,,
,72,40 . 93,,"13 , 98 12.52",,"2 , 84",,4 6 . 55,"83 , 18",,,I I
,7 3,41.14,,"12 , 7 7  5 , 92",,1 . 22,,52 . 94,"8 6 , 0 1",,,I I
,74,41.86,,"12 , 71  3 . 66",,0 . 74,,54 .48,"86 , 55",,,I I
,7 5,42.30,,"12 , 7 9 2.99",,0 . 60,,54 . 7 1,"8 6 , 61",,,G
,7 6,41.9 5,,12 . 57 2 . 62,,0 . 52,,5 5 . 43,86.91,,,t 1
,77,41 . 80,,12 . 42 2 . 1 7,,"0 , 43",,56 . 03,"8 7 , 1 5",,,I I
,78,4 1.68,,12 . 2 6 1.50,,0 . 2 9,,56 . 82,"8 7 , 45",,,I I
