0,1,2,3,4,5,6,7,8,9,10
----,----,---,43 . 9,9 . 21,100 . 0,5 6 . 1,604,,B,
4 . 2,"0 , 63",6 . 9,"40 , 5",8 . 62,"93 , l","55,3",603,,"""",
7 . 4,1 . 12,12 . 2,37 . 7,8 . 09,87 . 8,54 . 9,604,,"""",
"9 , 5'",1 . 4 6,15 .8,36.1,7 . 81,84 . 2,"54 , 4",600,,"""",
11 . 6,1 .  78,19 . s,34.1,7 .39,80 . S,54 .3,60 5,,"""",
13 . 6,2 . 11,22 . 7,32.7,7 . 16,7 7  .3,"53,7",599,B,+,C
14 . 4,2 . 17,25 . 2,30 . 3,6 . 45,74 .8,5 5 . 3,645,,C,
20 . 4,2 . 92,40 . 4,21 . 3,4.30,"59 , 6","58 , 3",7 69,,"""",
21 . 9,3 . 14,43 . 8,19 . 9,4 . 02,"56 , 2","58 , 2",7 78,,"""",
29 . 0,4 . 10,63 . 0,12.1,2 . 42,37 . 0,"58 , 9",856,,"""",
33 . 0,4 . 66,74 . S,8 . 0,1 . 60,"25 , 5","59 , 0",890,,"""",
36 .8,"5 , 16",87 . 2,3,,,,,,,
4 0 . S,5 . 67,100.0,---. 8-,-o-. - 7-5,-1-2-. 8-,"59 , 4 59.S",939 961,,""" """,
