0,1,2,3,4,5,6,7
.t./ • c  b mo1% cone . b,,mo1%,cone .,,mass%,,concn.
2 5  3 . 28 33 . 91 100,,,,,7 9 . 58,9 6. 7 2,2949
"2 5  3 , 22 34 . 64 67 . 2",,1 . 61,16 . 87  32.8,,7 3 . 01,95.17,1941
2 5  3 . 17 33 . 37 66 . 07,,1 . 63,17.14 33 . 93,,7 3 . 44,"9 5 , 20",1980
25 3 . 16 33 . 34 60 . 54,,2 . 06,21 . 74 39 . 46,,71 . 88,94.78,1816
"25  3 , 08 32 . 50 58 . 84",,2 . 15,22 . 73 41 . 16,,71 . 90,94.7 7,1810
25 3 . 14 33 . 19 59 . 04,,2 . 18,23 . 03 40 . 9 6,,7 1 . 54,94 . 68,177 9
25  2 . 98 31 . 66 52 . 02,,2 . 7 5,29 . 22 47 . 98,,7 0 . 13,94 . 27,1643
25  2 . 1 0 28 . 92 41 . 72,,3 . 78,40 . 3 9 58 . 28,,67 . 73,93 . 52,1443
"25 2.36 25 , 37 34 . 09",,4 . 56,49 . 05 65 . 91,,66 .44,93 . 08,1344
2 5 1.88 20 . 18 2 7 . 07,,5 . 06,54 . 38  72 . 93,,66 . 67,"93 , 06",1344
25  1 . 83 19.63 26 . 88,,4 . 98,53 . 45 7 3 . 12,,67 . OS,93 . 19,1368
25 1 . 47 15 . 85 20 . 99,,5 . 55,59 . 74 7 9 . 01,,66 . 60,92 . 98,1325
25,,6 . 13,65 . 3 6  100,,7 0 . 55,93.8 7,1530
so 4 . 91 51 . 69 100,,,,,71 . 91,95 . 09,193 5
so 4.76 51 . 15 69 . 23,,2 . 12,22.7 6  3 0 . 7 7,,65 . 28,93 . 12,1354
"so 4 . 07 4 5 , 56 38 . 22",,6 . 58,7 3 . 69 67 . 7 7,,55 . 12,89 . 3 5,839
"so 3 . 41 38 , 33  31 . 62",,7 . 40,82 . 97 68 . 38,,54 . 9 6,89.19,825
so 3 . 10 34.81 27 . 71,,7 . 89,"95 . 01 7 2 , 29",,54 . 66,89 . 01,810
so 2 . 52  28 . 3 5  23 . 18,,8 . 42,94 . 52 7 7 . 26,,54 . 99,89 . 10,817 . 4
so 1 . 60 17 . 82 15 . 58,,8 . 66,9 6 . 45 84 . 37,,57 . 12,89 . 7 4,874 . 7
so 0.71 7 . 86,7 . 05,9 . 3 1,103 . S  92 . 95,,58 . 13,89 . 98,898
so,,9.41,102 . 7  100,,60 . 12,91 . 59,974
aThe concentrat ion unit,is : mol/ 1000 mol,,H 0 .  2,,,,
