0,1,2,3,4,5
0 . 000,"0 , 0918",44.39,c. 0 . 313,"0 , 0045",2 . 7 9
0 . 040,0 . 0710,3 6 . 92,"0,400",0 . 00204,1 . 22
0 . 050,0 . 0672,3 5 . 38,0 . 500,0 . 00080,0 . 453
0.10 0,"0 , 0488",2 7 . 32,0 . 6 00,0 . 00021,0 . 113
0 . 15 0,0.02 95,17 . 6 9,0 . 7 00,0 . 00011,0 . 0562
0 . 19 1,0 . 0130,8 . 30,0 . 800,0.000076,"0 , 0369"
0 . 200,0 . 0114,7 . 30,0 . 900,0 . 000060,0 . 027 8
"0 , 3 00","0 , 004 7",2.93,"0 , 950",0 . 000055,0.0249
,,,1 . 000,0 . 000054,0.0240
