0,1,2,3,4,5,6,7
1 . 50 2 . 05 6,0 . 16,3506,,,,,1
"1 . 50 4 , 99",0 . 40,329 . 9  ±,,0 . 1,378 . 4  ±,0 . 1,1
1 . 50 9 . 59,0 . 80,319 . 0  ±,,"0 , 1",378 .8 ±,0 . 1,1
1 . 50 20 . 0,1 . 89,"310 , 3  ±",,"0 , 1",379 . 3 ±,0 . 2,1
1 . 50 30 . 3,3 . 29,"310 , 1  ±",,"0 , 1",378 . 8 ±,0 . 1,1
1 . 50 40 . 1,5 . 0 7,313 . 1 ±,,0 . 1,"379 , 3 ±",0 . 1,1
1 . 50  50. 2,7 . 64,"319 , 9 ±",,0 . 1,379 . 3  ±,0 . 1,1
1 . 50 60 . 2,11 . 46,343 . 2  ±,,0 . 3,,,1
1 . 50 63 . 1 6,12 . 96,350 6,,,,,1
1 . 50 67d,15 . 4,379d,,,,,1
"2 . 00 0 ,89",0 . 06,3659,,,,,"0 , 5"
2 . 00 L l t 6,0 . 08,3506,,,,,"0 , 5"
2 . 0 324h 0 3 . 0,0 . 2,,,,,,"0 , 5"
2 . 00 5 . o .,0 . 3 7,"321 , 3  ±",,0 . 4,374 . 7  ±,0 . 5,0 . 5
-<-2 . 00 10 . o,0 . 78,300-<-,,,,,0 . 5
2 . 00 10 . 3,0 . 81,305 2 ±,,0 . 1,374 . 7 ±,"0 , 5",0 . 5
h 2 . 00 12 . 4,1 . 00,300 h,,,,,0 . 5
"2 . 00 20 , 0",1 . 76,293 . 6  ±,,0 . 2,"375 , 4 ±",0 . 5,0. 5
2 . 00 30 . 0,3 . 0 1,290 . 6  ±,,0 . 2,"375 , 1 ±",0 . 3,0 . 5
"2 . 00 40 . o,l",4 . 69,"290 , 6  ±",,"0 , 4","374 , 7 ±",0 . 5,"0 , 5"
2 . 00 5 7 3,9 . 44,300-<-,,,,,"0 , 5"
2 . 00 72i,18 .09,3506,,,,,0 . 5
2 . 00 74 d,20 . 02,375d,,,,,0 . 5
2 . 16 4 . 85,0 . 35,301 ± 1,,,,,
"2 . 16 10 , 0",0 . 76,291 ± 1,,,,,
"2 , 16 20 . 0",1 . 7 1,282 ± 1,,,,,
"2 , 16 28 , 9",2 .  7 7,28 1  ± 1,,,,,
"2 . 16 37 , 5",4 . 10,279 ± 1,,,,,
