0,1,2,3,4,5,6,7,8,9,10,11
----,----,---,---,26 . 9 9,6 . 32 113 . 7 5,,7 3.01,"8 79 , 09 1 . 502",,1 . 202,A
7 . 34,0 . 88,"15 , 91","13,20",23 . 52,5 .82 104 . 68,,69 . 14,"829 , 07 2 . 589",,1 . 248,I I
13.84,1 .  7 6,31 . 7 7,24.46,20 . 83,"5.45 98 , 12",,"6 5 , 33",7 69 . 4 6  3.169,,1 . 273,I I
19 . 43,2 . 59,"46 , 74",34 . 19,18 . 22,"5 . 00 89 , 9 6",,62.35,7 3 1 . 4 3  3 . 0 64,,1 . 311,II
23 . 07,3 . 18,57 . 29,40 . 49,16 . 53,4.68 84 . 22,,60.40,"706 . 67 3 , 094",,1 . 328,I I
27 .82,3.99,72 . 00,48 .80,14 . 23,"4 . 20 7 5 , 54",,"57 , 95","677 , 7 7 4 . 117",,1 . 452,I I
36 . 16,5 . 69,"102 , 52",61 . 7 0,10 . 94,"3 . 53 63 , 63",,"52 , 90",601 .86 7 . 597,,1 . 709,I I
4 5 .82,8 . 01,144.30,7 7 . 37,6.54,2 . 34 42 . 21,,47 . 64,536 . 18 ----,,1 . 921,I I
"4 7 , 78",8 . 67,"156 , 08",78 . 68,6 . 31,"2 . 35 42,30",,"45 , 91",504 . 08 12.734,,1 . 951,D
52 . 25,9 . 97,17 9 . 53,88.15,4.09,1.60 28 .85,,"43 , 66",47 9 . 88 17 .800,,1 . 559,I I
53 . 54,1 0 . 35,185 . 71,88 . 48,3.3 9,1 . 34 24 . 17,,43 . 07,47 9 . 45 ----,,1.606,E
54 . 05,10 . 45,188.18,90 . 19,2.87,"1 . 13 20 , 4 7",,"43 , 08",479.28 18 . 263,,1 . 47 1,I I
60 . 58,12 .80,230 . 58,100 . 0,----,---- ----,,"3 9 , 42",433 . 69  23 . 159,,1 . 718,I I
