0,1,2,3,4
t/ 0 c,,mean,Cl mass%,mol / kgCl
0 . 10,57 . 84,57 . 8 6,3 6 . 64,4 . 82
,57 . 8 7,,3 6 . 66,4 . 82
1 . 00,59 . 10,59 . 08,3 7 . 15,4 . 92
,59 . 06,,3 7  . 13,4 . 92
3 . 00,61 . 4 5,61 . 4 7,38 . 06,5 . 12
,61 . 49,,38 . 08,5 . 12
5 . 00,63 . 80,63 . 82,38 . 95,5 . 32
,63 . 84,,3 8 . 9 6,"5 , 32"
10 . 00,69 . 85,69 . 87,41 . 12,5 . 82
,69 . 89,,41 . 14,5 . 82
15 . 00,7 6 . 74,7 6 . 72,43 . 42,6 . 3 9
,7 6 .  70,,43 . 4 1,6 . 3 9
20 . 00,85 . 23,8 5 . 21,46 . 01,7 . 10
,85.18,,4 6 . 00,7.08
25 . 00,94 . 62,94 . 6 3,48 . 62,7 . 88
,94 . 63,,4 8 . 62,7 . 88
26 . 00,96 .  70,96 . 7 3,49 . 1 6,8 . 06
,9 6 . 7 5,,49 . 17,8 . 06
27 . 00,99 . 20,99 . 20,49 . 80,8 . 26
,9 9 . 19,,49 . 80,8 . 26
28 . 00,101 . 7 5,101 .  7 1,50 . 43,8 . 48
,101 . 6 7,,50 . 4 1,8 . 4 7
