0,1,2,3,4,5,6,7,8
a mass% a,b mo1% mol/ kl,mass%,,mo1%,mol/kl,index,pH,phase
---- 97 . 4,---- 7 7 . 5  180 -----,-0-. 3--68-,,0--. -0-8-1,"-0-, -045  --",1 . 441 1 . 450,"13 . 95 13 , 80",B
87 . 6,37 . 38 33 . 4,0 . 054,,0 . 054,0 . 054,1 . 44 5,13.90,C
7 9 . 2,24 . 29 18 . 0,0 . 061,,0 . 04 6,0 . 03 6,1 . 445,13 . 81,I I
72 . 0,17 . 53 12 . 1,0 . 063,,"0 , 03 5",0 . 028,1 . 445,13 .48,I I
68 . 4,"1 5 . 45 10 , 2","0 , 117",,0 . 067,"0 , 046",1 . 444,13 . 21,I I
61 . 4,"11 . 66 7 , 5",0 . 126,,"0 , 062","0 , 040",1 . 445,12 . 97,I I
57 . 0,"9 . 7 7 6 , 3",0 . 17 3,,0 . 07 9,"0 , 050",1 . 443,12 . 8 8,I I
5 6 . 4,8 . 08 6 . 1,0 . 17 6,,"0 , 086",0 . 050,1 . 441,"12 , 88",A + B
54 . 6,"9 . 06 5 , 7",0 . 17 1,,0 . 07 2,"0 , 04 7",1 . 440,"12 , 7 0",
53 . 4,"8 . 8 6  5 , 4",0 . 164,,"0 , 07 0",0 . 044,1 . 435,12 . 65,I I
47 . 8,7 . 07 4 . 3,"0 , 159",,"0 , 061","0 , 038",1 . 434,12 . 50,I I
23 . 4,"2,89  1 . 4",0 . 18 7,,0 . 052,0 . 030,1 . 430,12 . 4 6,I I
20 . 4,2.00 1 . 2,0 . 211,,"0 , 055","0 , 033",1 . 4 25,12 . 41,I I
10.2,"0 , 7 9 0 . 5",0 . 298,,0.069,0 . 041,1 . 420,12 . 3 5,I I
6 . 6,0 . 57 0 . 3,"0 , 328",,0 . 07 6,"0 , 044",1 . 410,12 . 22,I I
