0,1,2,3,4,5,6,7,8
Nr mass%,,mo1% mass%,,mo1%,mass% mo1%,,,
20 21 -6-. -88-,,"0 . 69 ---- ---- 0 , 33",,---- 0 . 09,57 . 7  60.7,7 . 08 6 . 7 7,,
22 ----,,---- 18 . 7,,6 . 43,51 . 6,7 . 55,,
"23 6 , 49",,0 . 67 ----,,----,59 . 3,7 . 54,,
24 25 ---- ----,,-------- 19 . 7  0 . 33,,o.os 7.31,62.3 52 . 9,7 . 23 8 . 37,,
26 27 -6.-4--0,,0.---69- ---- 0 . 32,,---- 0 . 09,60 . 7  63 . 6,7 . 98  7 . 68,,
28 ----,,---- 20 . S,,8 . 3 7,52 . 9,8 . 3 7,,
29 30  22 . 9  15 .4,,5 . 7 1 2 . 41 --------,,----- ---,62 . 9  61 . 9  19 . 2 11 . 8,,,
31 12 . 7,,1 . 7 7  ----,,----,61 . 9 10 . 6,,,
32 9 . 81,,1 . 24 ----,,----,62.2,9 . 67,,
33  6 . 3 0,,0 . 7 0  ----,,----,61 . 6,8 . 33,,
34 4 .11,,0 . 45 ----,,----,63 . 5,8 . 53,,
3 5 3 6  3 . 02 2 . 21,,"0 , 33  0.22 ---- ----",,--------,64 . 2  62 . 9,a.so 7 . 83,,
3 7  ----,,---- 0 . 3 1,,0 . 09,65 . 6,8.37,,
3 8  3 9  ---- ----,,-------- 1 . 00 1 .14,,0 . 30  0 . 3 6,65 . 9  66 . 2,8 . 67 8 . 83,,
40 42 41 ---- --------,,-------- -1 . 83  7 . 27,,0 . 59 2 . 9 6,6 6 . 6  67 . 7 11 . 8,9.16,,
43 44 --------,,---------- - 11 . 6 17.8 16 . 8,,5 . 59 9 . 47 9 . 50,"67 . 4 65.1 63 . 0  15 . 6 14 . 3  13 , 9",,,
The authors linearized,,the data for,the,reg ion,containing,H Po,and,give
the following equation,,,,,,3 4,,
