0,1,2,3,4,5
no. mass%,mol/kg,mass%,mol /kg,mass%,mol/kg
"21 22 65 . 14 62 ,15",8 . 00 10 . 98,--1.-27 -,"0 , 62 ----",---- 6 . 90,----2 . 52
"-------24 23 28 , 47 28,62","3 , 00 3 , 02",26 .89  26 . 74,"10 , 74 10 .67",--------,-
