0,1,2,3,4,5,6,7,8,9,10
"19 , 55","9 , 19",2 7 .82,s. 71,34 . 53,4 . 4 1,----,----,1 7 . 82,3.81,C2
"19 , 90 20 . 44","9,68 10 . 20",29 . 94 31 . 23,"6 . 36 6 ,80",3 5 . 15 36 . 10,"4 .81 5 , 20",--------,--------,20 .38 21 . 59,4.67 5 . 21,C2 C2
20.63,"10,44","3 2 , 00","7 , 07",36 . 44,"5 , 4 0",----,----,22.4 6,5 . 57,C2
20.74,"10,56",32 .34,7 . 19,36 . 63,5 . 50,----,----,22.81,5 . 74,C2
20.82,"10,65",32 . 53,7.27,3 6 . 7 7,"5 , 5 6",-,,,,
21 . 34,11 . 20,33.7 9,7 . 7 5,3 7 . 69,6 . 02,-------,--------,22.99 24.18,5.83 6 . 4 7,C2  C2
21 . 12,11 . 22,34 . 73,"8 , 06",37 . 30,6 . 14,----,----,25 . 71,7 . 09,E
20 . 68 2 0 .32 20.44,"11 . 12 11 . 16  10 , 98",3 5 . 7 9 3 6 . 26 37.01,"8 . 40 8 , 53 8.83",36 . 52 35 .8 9  36.10,6 . 21 6 . 17 6.40,-------- ----,-------- ----,27 . 64 28 . 6 6  2 9.57,7 . 87  8.2 5 8 . 7 9,E E E + Cl
"19 , 46","10 ,31",35.90,8 . 31,34 . 37,5 . 72,----,----,29 . 07,8 . 11,Cl
"18,95","9 , 94",35 . 71,8 . 18,33 . 4 7,"5,48",----,----,2 9.35,8 . 05,Cl
18.7 6,"9 , 7 9",35 . 52,8 . 10,33.13,5 . 37,-,,,,
17 . 56,"8 , 90",34.60,7 . 6 6,31 . 01,4 . 7 6,-------,--------,29 . 28 29 . 28,7 . 96 7 . 52,Cl Cl
17.09,8 . 60,34 . 50,"7 , 58",30.18,4 . 57,----,----,2 9.63,7 . 52,Cl
"16,92",8 . 48,34 . 3 9,7 . 53,29 . 88,4.50,----,----,29.66,7 . 48,Cl
15 . 7 7,7 . 73,33 . 78,"7 , 23",2 7 . 8 5,4 . 03,----,----,"30 , 03",7 . 27,Cl
14 . 6 6  13 . 96,"7,07 6 .84","33 . 62 35 , 31",7 . 08 7 . 5 6,2 5.8 9 24 . 65,3 . 65 3 . 63,-------,----,30.98,7 . 33,Cl
"13 , 61",6.78,36 . 7 1,"7 , 99",24 . 04,"3 , 69",-----,--------,34.05 36 . 3 5,8 . 41 9 . 36,Cl Cl
13 . 07,"6 , 61",38 . 05,"8,4 0",23 . 08,3 . 68,----,----,38. 7 7,10 . 37,Cl
"12 . 37 12 , 53","6 , 56 6 , 7 2",41 . 7 0 4 2 . 27,"9 , 66 9 , 90",21. 8 5  22.13,"3 , 9 6 4.12",--------,--------,44 . 55 45 .17,13 . 53 14.09,Cl Cl
12 . 2 5 11 .  7 7,"6 , 59 6,54",42 . 73 45 . 10,"10 , 04 10 . 95",21 . 63 20 . 7 9,4 . 08 4 .31,--------,--------,4 6 . 10 49.87,14 . 58 17 .35,C C
11 . 44,"6 , 60",46 . 38,11 . 68,20 . 20,4 . 4 2,----,----,51 . 99,19 . 08,C
"10 , 92","6,38",48 . 7 2,12 . 44,19.28,4 . 71,----,----,55.7 7,22 .81,C
"10 , 6 6","6 , 51",51 . 35,"13,69",18 .82,5 . 33,----,----,59 . 67,28 .33,C
