0,1,2,3,4,5,6,7
"2 , 0",1 . 60,"0 , 13",,3 0 . 7,23 . 13,2 . 1 6,7 5 . 27
4 . 9,"3 , 74","0 , 32",,3 6 . 8,"2 5 , 97",2 . 60,"7 0 , 28"
"3 , 5","2 , 04","0 , 2 2",,25 . 2,"19 , 58",1 . 78,7 7  . so
2 . 7,"2 , 3 0","0 , 17",,17 . 8,14 . 7 7,1 . 25,82 . 93
1 . 8,1 . 66,"0 , 11",,"6 , 9",6 . 34,0 . 48,91 . 99
1. 7,"1 , 63","0 , 10",,"2 , 8","2 , 68",0 . 20,95 . 9 6
"3 , 7",3 . 49,"0 , 22",,2 . 4,"2 , 26",0 . 17,94 . 2 5
1 . 9,"1 , 84","0 , 12",,1 .4,1 . 3 6,0 . 10,96 . 80
,,,temp .,= 3 50 ° C .,,,
"0 , 14","0 , 14","0,01",,2 . 02,1 . 98,0 . 01,97.88
"0 , 11","0 , 11","0 , 01",,1 . 01,1 . 00,0 . 01,98 . 89
0 . 21,"0 , 21","0 , 01",,"0 , 10","0 , 10",0 . 01,99 . 69
