0,1,2,3,4,5,6,7,8,9
mass%,mol /kg,mass%,mol /kg,,ma ss%,mass%,pH,index,phase
,,,temp,=,so•c .,,,,
23 . 6,2 . 2 6,----,o . oo,,10 . 2 5,15 . 41,3 . 7 0,1 . 3 65,KHlo4
2 9 . 9,3 . 28,3 . 3,0 . 50,,10 . 3 5,17 . 99,3 . 10,1 . 37 0,
30.0,3 . 48,6 . 8,1.09,,10 . 96,2 0.58,"2 , 19",1 . 3 7 2,
31 . 5,4 . 09,12 . 0,2 . 16,,"10 , 9 0",2 5 . 11,1 . 7 8,1.3 7 3,
33 . 6,4.81,15 . 1,3 . 00,,11 . 52,28 .40,1 . 56,1.384,
3 5 . 2,5 . 59,18 . 6,4 . 10,,12 . 19,31 . 81,1 . 12,1 . 398,
3 6 . 3,6 . 25,2 0 . 0,4 . 7 2,,12 . 55,33 . 42,0 . 89,1 . 3 94,
38 . 7,7 . 56,23 . 7,6 . 43,,13 . 39,3 7 . 2,0 . 69,1 . 401,
3 9. 5,8 . 29,2 5 . 5,7 . 43,,13 . 65,3 9 . 10,0 . 44,1 . 409,
40 . 9,9 . 10,2 6 . 1,8 . 07,,"13 , 7 5",40 . 2 5,0 . 34,1 . 410,""""
41 . 9,10 . 7 2,2 9 . 4,10 . 45,,14.50,43 . 12,"0 , 2 5",1 . 4 13,""""
4 2 . 5,11 . 69,"30 , 8",11 . 7 7,,14 . 7 0,44 . 50,0 . 23,1 . 415,""""
44 . 4,14 . 30,"32 , 8",14 . 67,,1 5 . 35,4 6 . 89,-0 . 04,1 . 419,""""
46 . 0,17 . 33,34 . 5,18 . 05,,15 . 90,49 . 01,-0 . 08,1 . 423,""""
