0,1,2,3,4,5,6,7,8,9
mass%,mol /kga.,mass%,a. mol /kg,":t/ ""C  mass%",,mol/ kga.,mass%,a. mol/kg,:t/ o c
26. 7,4 . 57,24.6,5.94,28 . 8  15 . 8,,1.8 9,14 . 6,2.47,"-12 , 9"
25 . 7,4 . 23,23 . 7,5 . 51,24 . 7  15 . l,,1 . 7 7,13 . 9,2 . 30,-11 . 9
23 . 8,3 . 66,22 . 0,4 . 78,18 . 7 12 . 2,,1 . 33,11 . 3,1 . 74,-9 . 1
22 . 2,3 . 22,20 . 4,4 . 18,11. 9 10.3,,1 . 07,9 . 5,1 . 39,-7 . 4
20 . 8,2 . 89,19 . 2,3 . 7 6,6.2 8 . 9,,0 . 89,8 . 2,1 . 16,-6 . 1
20 . 0,2 .  71,18.S,3 . 54,2 . s  7 . 8,,o .  7 6,7 . 2,1 . 00,-s . s
"19 , 3",2 . 56,17 . 8,3 . 33,-1.2 7 . 0,,"0 , 67",6 . 5,0 . 88,-4 . 9
18 . 4,2 . 37,17 . 0,3 . 10,o . o 5 . 8,,0.54,5.3,0 . 10,-3 . 9
17.S,2 . 20,16 . 1,2 . 85,-11 . 1  4 . 9,,0 . 4 5,4 . 5,0.58,- 3 . 2
16 . 6,2 . 03,15.3,2 . 64,-13 . 7,,,,,
,,,,Sec t ion VIII,,,,,
38 . 0,6 . 88,16 . 0,4 . 09,3 3 . 6 2 1 . 3,,2 . ss,9 . 0,1.52,-11 . 7
3 7 . o,6 . 50,15 . 6,3 . 8 7,31 . 7 20.3,,2 . 37,8 . 4,1 . 39,-10 . 8
"35 , 4","5 , 9 3",14 . 9,3.53,28 . 2 18 . 4,,2 . 08,7 . 8,1.24,-9 . 4
"33 , 9",5 . 45,14 . 3,3 . 25,24 . 7 15 . 1,,1 . 60,6.3,0 . 94,"-7 , 2"
3 1 . 4,4 . 7 2,13 . 2,2.80,17 . 6  12 . 8,,1.30,5 . 4,o .  7 8,-5 . 9
29 . 1,4 . 14,12 . 3,2.47,11 . 2 11 . 0,,1 . 08,4 . 6,"0 , 64",-4 . 9
27 . 8,3.83,11 . 7,2 . 28,7 . 8 8 . 7,,0 . 83,3 . 7,a . so,-3 . 9
"26 , 0",3 . 44,11 . 0,2 . 05,0 . 8 7 . 2,,0 . 67,3 . 0,0 . 39,-3 . 2
24 . S,3 . 13,10 . 3,1 . 8 6,-4 . 2 5 . 3,,o.48,2 . 2,0 . 28,-2 . 4
23 . 8,3 . 00,10 . 0,1 . 78,-7 . 0  4 . 2,,0 . 37,1.8,0 . 22,-1 . 8
22 . S,2 . 7 6,9 . 5,1.64,-12 . 7,,,,,
,,,,S ection IX,,,,,
0,o . o,12.0,1.60,-4 . 8  34 . 1,,4 . 90,7 . 9,1 . 60,13 . 3
7 . 0,o .  71,11 . 2,1.61,- 6 . 6  3 6 . 4,,5 . 42,7 . 6,1 . 60,16 . 6
12 . 7,1 . 40,11 . S,1 .  78,-8 . 4 38 . 4,,5 . 91,7 . 5,1 . 63,20.S
17.7,2 . 04,9 . 9,1 . 61,"-10 . 2  39 , 4",,6 . 16,7 . 3,1.61,22 . 2
22 . 0,2 . 67,9 . 4,1 . 61,-11 . 6  4 0 . 2,,6 . 36,7 . 1,1 . 58,23 . 7
25 . 6,3 . 26,"8 , 9",1 . 60,-6 . 4  41 . 1,,6 . 60,7 . 0,1 . 59,25 . 3
27 . 3,3.55,8 . 7,1 . 60,-2 . 8  41 . 9,,6 . 82,6.9,1 . 59,26 . 3
28 . 8,3 . 83,8 . 6,1 . 62,-0 . 1  43 . 4,,7 . 26,6 . 8,1 . 61,28.7
31 . 7,4 . 39,8 . 2,1 . 60,7 . 1  4 5 . 1,,7 . 78,6 . 6,1 . 61,29 . 8
,,,,S ect ion X,,,,,
,,6 . 0,0 . 7 5,-2. 2 36 . 4,,5 . 07,3 . 8,o .  7 5,9 . 2
7 . 0,0 . 67,5 . 6,o .  7 5,-4 . 1  38.4,,"5 , 52",3 . 7,o .  7 5,13.4
12 . 7,1.29,5 . 2,0 . 74,"-5 . 7  39 , 4",,s . 7 6,3 . 6,0 . 74,14 . 9
17 . 7,1 . 90,4 . 9,o .  74,-7 . 2 4 0 . 2,,"5 , 9 6",3 . 6,o . 7 5,16 . 6
22 . 0,2 . 50,4 . 7,o . 7 S,-8 . 7  4 1 . 1,,6 . 18,3 . 5,0 . 74,18 . 1
25 . 6,3.05,4.5,0 . 7 6,-10 . 2 41 . 9,,6 . 38,3 . 4,o . 73,19 . S
27 . 3,3 . 33,4 . 4,0 . 7 6,-10.9 43 . 4,,6 . 8 0,"3 , 4",o . 7 3,22 . 6
28 . 8,3 . 59,4 . 3,o .  7 6,-8 . S  44. 8,,7 . 18,3 . 2,0 . 72,24 . 8
30 . 3,3 . 8 5,4 . 2,o .  7 5,"-4.7 4 5 , S",,"7 , 3 9","3 , 2",0 . 73,26 . 2
31 . 7,4.11,4 . 1,0 . 7 5,-1 . 8 4 6 . 1,,7 . 58,3 . 2,0.74,27.4
34.1,4.59,4 . 0,o .  7 6,4 . 3,,,,,
