0,1,2,3,4,5,6,7,8
3 . 20,2 . 28,22 . 64,1.62,,,1 1.89,1 . 85,65 .47 1 1
3 . 98,2 . 67,28 . 16,2 . 26,----,----,13 . 16,2 . 28,58 . 68 1 1
5 . 22,3 .24,3 6 . 93,3 . 59,----,----,14 . 7 0,3 . 10,48 . 3 7  1 1
5 . 3 3,3 . 3 3,3 7 . 71,3 . 7 7,----,----,15 . 22,3 . 30,47 . 07 1 1
5 . 67,3 . 41,40 . 11,4 . 20,----,----,14 . 89,3 . 3 7,45 . 00 1 1
6.38,3 . 69,45 . 14,5 . 3 7,----,----,15 . 32,3 . 95,39 . 54 1 1
6 .80,3.92,48 . 11,6.3 5,----,----,16 . 2 0,4.63,35.69 1 1
7 . 23,3 . 73,51 . 15,6 . 71,----,----,,,
7.79,3.66,55.11,7 . 53,----,,,,
,,,,,,12 . 93,3 . 67,3 5 . 92 C
,,,,,----,,,
8 . 56,3 . 42,60 . 56,8 . 42,----,----,10 . 42 5 . 55,3 . 08 1 . 67,34 . 4 7 33 .89  1 1  1 1
8 .81,2 . 92,61.98,7 . 7 3,0 . 28,0 . 13,----,----,37.7 4  D
7 . 14,2 . 07,43 . 94,4 . 07,5 . 21,1 . 82,----,----,so.a s 1 1
7 . 18,2 . 09,44.3 6,4 . 11,4.88,1. 71,----,----,50 . 8 1 1  3
9 . 19,0 . 48,10.18,1.03,4 3 . 48,16.72,----,----,46 . 34 1 1
