0,1,2,3,4,5,6,7
,,"+ s u l f ur i c  acid ,",di s odium,sa l t,,,"1 6 1 , 1 6 2"
,,"+ vanad ic  acid ,",s odium,s a l t,,,"1 5 9 ,  1 6 0"
Sod i um,borate,"s e e  bor ic acid ,",sod ium,s a l t,,,
Sod i um,ca rbonate,see carbon i c,,"acid , d i s od i um",sa l t,,
Sodi um,ch l or ide,,,,,,
,,+ water,,,"7 6 - 7 8 ,",,"1 3 4 ,  1 3 5"
Sod i um,ch l oride,( aqueous ),,,,,
,,+ ammonium ch l or ide,,,"9 0 ,",,"1 1 9 , 1 2 0"
,,"+ nitri c acid , sodium",,s a l t,,,1 2 1
,,"+ phosphor ic  acid ,",d i s odium,s a l t,"E 9 8 , E l O l ,",,"1 1 1 ,"
,,,,,,,1 1 9 - 1 2 1
,,"+ phosphoric  acid ,",monoammonium,,sa l t,,9 0
,,"+ phos phor ic  acid ,",monopota s s i um,,"s a l t  8 0 - 8 5 , 8 8 ,",,"8 9 , 9 1"
,,"+ pho sphor i c  ac i d ,",monosodium,s a l t,"E 4 7 ,  E 4 9 ,","E 5 1 ,","E 5 2 ,"
,,,,"6 5 ,","6 6 ,  7 6 - 7 8 , 8 0 - 8 5 ,",,8 8 - 9 1
,,"+ phosphoric  acid ,",trisodium,s a l t,"E l 2 7 ,",,"1 3 4 ,  1 3 5"
,,+ potas s i um ch l oride,,,"8 0 - 8 5 , 8 8 ,",,"8 9 ,  9 1"
Sod i um,d i hydrogen,phosphate,"see phosphor i c  acid ,",,monosodium,,s a l t
Sod i um,f l uor ide,,,,,,
,,+ water,,,,,1 5 4
Sod i um,f l uor ide,( aqueous ),,,,,
,,"+ phosphoric  acid ,",tri sod i um,s a l t,,"E l 2 7 ,",1 5 4
Sodium,hydroxide,( aqueous ),,,,,
,,"+ ca rbon ic acid ,",disod ium,s a l t,,,1 5 7  1 1 5 8
,,"+ phosphoric  acid ,",di sodium,s a l t,"E l 3 ,  E l 4 ,",,"1 8 ,  1 9 ,"
,,,,,"2 2 ,",,"3 7 , 3 8"
,,"+ phosphoric  acid ,",monosodium,s a l t,,,2 4  1 2 5
,,"+ phosphor ic  acid ,",tri sodium,s a l t,"E l l ,  E l 2 ,",,"E l 4 , 1 7 ,"
,,,,,"2 6 - 3 6 , E l 2 9 ,",,1 5 5 - 1 6 2
,,+ s odium a l uminium,oxide,,"1 5 9 ,  1 6 0 ,",,"1 6 1 , 1 6 2"
,,"+ s u l f u r i c  acid ,",d i s odium,sa l t,"1 5 5 ,  1 5 6 ,",,"1 6 1 , 1 6 2"
,,"+ vanad i c  acid , sodium",,sa l t,,,"1 5 9 ,  1 6 O·"
Sodium,me tapho sphate,see metapho sphoric,,"acid ,",sodium sa l t,,
Sod i um,n i trate,see nitric,"acid ,",s odium,sa l t,,
Sod i um,n i t r i te,see ni trous,"aci d ,",sodium,s a l t,,
Sodium,oxide ( aqueous ),,,,,,
,,+ phosphorus pentoxide,,,,,E l l
Sodium,perch l orate,see perch l or i c,,"acid , s odium",s a l t,,
Sod i um,phospha te,see phosphoric,,"aci d ,  tr i sodium",s a l t,,
Sodi um,su l fate,see  su l furic,,"acid , d i s odium",s a l t,,
Sod i um,vanadate,see  vanad ic,"acid ,",sodi um,s a l t,,
