0,1,2,3,4,5,6,7,8,9,10
mass%,mo!%,mass%,mo!%,mas s%,mol/kg,mass% mol/kg,,mas s%,mol/kg,phase
"7 , 7 6",2 . 53,6 . 12,0 . 87,13 . 70,"0 , 9 7",---- ----,,"0 , 27",0 . 03,A
"8 , 99",3 . 00,7 . 50,1.09,1 5 .87,1 . 16,---- ----,,0 .88,0 . 10,A
"9,91 10 , 66",3 .36  3 . 67,"8 , 53 9,39",1 . 26 1 . 41,1 7 . 50 18 . 82,1 . 31 1 . 44,-------- --------,,1 . 34 1. 73,0 .16 0.22,A A + B12
"9 , 04",3.03,8 . 20,1 . 20,15 . 9 6,1 . 18,---- ----,,1 . 80,0 . 22,B12
"8 , 93 4,52",2.99 1.42,8 . 01 5 . 23,1 . 17 0 . 12,"15,7 7 7 . 98",1 . 16 0 . 54,-------- --------,,1 . 65 2 . 46,0 . 20 0 . 28,Bl2 B12
8 . 61,3 . 02,"12 , 9 5",1 . 95,15 . 20,1 . 21,-,,,,
"11 , 02 15 , 30",4 . 17 6 . 56,"1 7 . 59 24,58","2,90 4 . 60","19 . 46 27,02",1 .  74 2 . 98,-------- --- -------- ----,,8 .81 12.68 17 . 82,1 . 18 3 .29 1 . 90,B12 Bl2 Bl2
15 . 82,6 . 88,"25 , 05",4 . 75,"2 7,94",3 . 14,---- ----,,"17 , 92",3 . 38,B12
"16 . 07 16,24",7 . 02 7 . 12,"25 ,32 25 . 37",4 . 83 4 .8 5,28 .38 28 . 68,3 . 22 3 . 27,-------- --------,,18 . 03 17.9 2,3 . 43 3 . 42,B12 B12
"16,7 1",7 . 38,"25 , 69",4 . 95,"29 , 51",3.41,---- ----,,"17,87",3 . 46,B12 + BB
"16 , 71 16 , 76 17 , 58",7 . 45 8 . 12 7 . 54,"26 .33 28,2 6 2 6 , 91",5 . 12 5.2 7 5 . 7 0,"29 , 51 29,60 31 . 05",3 . 47 3 . 54 3 . 90,---- -------- -------- ----,,"18.75 19 , 50 20,50",3 . 70 3 . 91 4 .32,ns n8 BB
"17 ,87",8 .31,28 . 48,5 . 79,3 1 . 56,4 . 01,---- ----,,"20,50",4.36,BB
"1 9 , 48",9 . 61,31 . 39,6. 7 5,34 . 40,4 . 90,---- ----,,22.82,5 . 44,B8
20 . 44,10 . 40,"32 , 62",7 . 24,"3 6,10",5 . 44,---- ----,,"23 , 51",5 . 94,BB + E
"19 , 88 19 , 48 19 , 08 18 , 93 17 , 28","10 . 04 8 , 30 9 , 60 9 . 85  9 . 70","32,60 33,53 32 , 93 33 , 49 31 . 20",7 . 20 7 . 26 7 . 43 7 . 44 6 . 54,"3 5 . 11 34 .40  3 3 . 43 3 0,52 33 , 70",5 . 24 4 . 17 5 . 15 5 . 06 5 . 11,----------- ---- -------- ---- ---- ---- ---- -,,"24 , 07 24 , 95 26 , 14 26 ,36  24 , 88","6,02 6 . 26 6 , 69 6,64 5 . 69",E E + E C2 E C2
"13 , 24",5 . 82,"28,06",5 . 38,"23 ,38","2,7 5",---- ----,,24 .80,4 .88,C2
"13,2 2",5 .  7 9,"2 7 , 84",5 . 33,"23 ,35","2,72",---- ----,,24 . 51,4 . 7 9,C2
"12 , 01",5 . 16,"27,50","5,16",21 . 21,2 . 41,---- ----,,"25,32",4 .83,C2
11 . 15,4.88,"29 , 50","5,63","19 , 69",2 . 33,---- ----,,"28,99",5 .  7 6,C2
"10,83 10 , 71",4 .8 7  4 .82,"31 , 65 33 , 94","6,21 6 . 6 6","19,13 18,91",2 . 39 2 . 53,-------- --------,,"32,29 35,58",6 . 78 7 . 98,C2 C2
"10,82",5 . 17,"36 , 23","7,57",1 9 . 11,2.7 5,---- ----,,38.63,"9 , 32",C2
"10 , 98",5 . 45,"38 , 60",8 .37,"19,39",3 . 03,---- ----,,41 . 7 3,"10,95",C2
"11 . 41 11 ,33","5,87  5 , 8 5","40,51 40,95","9,08 9,26","20 . 15 20,01",3 . 41 3 . 44,-------- -·--·- ----,,"43 , 91 44 . 61",12 . 47 12 .86,C2 Cl
"10 , 93",5 . 7 7,"42 , 7 0","9 , 89","19 ,30",3 . 53,---- ----,,47 .44,14.56,Cl
"10 , 88",5 . 80,"43,37","10,13",19 .21,3 . 61,---- ----,,48 . 42,15 . 27,Cl
11 . 31 11 . 16,6 . 21 6.18,"44 .85 45,39","10,74 11 . 00","19 . 9 7  19, 71",4 . 05 4 . 08,-------- --------,,"50 . 01 50,92","17 , 01 17 . 69",Cl + C C
11 . 08 10 .30,"6.23 5 , 92","45 , 6 5  48,26",11 . 18 12 . 10,19 . 57 18 . 19,4.10 4 . 26,-------- --------,,"51 .36  5 5,78",18 . 03 21 . 88,C C + F
7 .25,4 . 20,"51 , 33","12,99","12 ,80",3 . 25,---- ----,,GJ . ::4,"26 , 94",F
2.88,1 .  73,"56 ,  7 7",14 .88,5 . 08,1 . 58,---- ----,,7 5 .35,"39 , 31",F
