0,1,2,3,4,5,6,7,8,9,10
11.0 : 12d2o 8.150.76 o.ss,,0.401.98,,0.040.18,,Na3Po 41,,,,
7.38 0.50,,2.81,,0.26,,"""",,,,
5.410.36,,4.43,,o .4o,,"""",,,,
4.390.30,,5.93,,0.54,,"""",,,,
3.850.26,,7.60,,0.70,,"""",,,,
3.800.26,,9.12,,0.86,,"""",,,,
4.18 o.30,,10.45,,1.00,,"""",,,,
s.21024.480.380.33,,12.0512.26,,1.191.21,,"Na3P04 • 12H20 + 4Ua 0 •P o 4Na20 · P20,:v","o "" 30A",,· V20 s ·30H o,
3.230.24,,13.68,,1.35,,225,25,,2,
2.400.17,,13.81,,1.35,,"""",,,,
1.260.09,,15.40,,1.52,,"""",,,,
1.250.09,,16.82,,1.68,,II,,,,
1.030.08,,17.01,,1.70,,4Na o 20 • P 2 o 5 •v 2 o 5,•30H 20 +,,Navo,• zH 32
