0,1,2,3,4,5,6,7
00,0.0,0.0,,0,0,0,ice
3.3370.27,1.94,0.147,,1.40,0.147,-0.6,""""
8.8240.69,4.82,0.385,,3.47,0.385,-1.7,II
12.131.05,7.05,0.589,,5.08,0.589,-2.5,II
20.501.94,11.92,1.101,,8.58,1.101,-5.7,
29.433.11,17.11,1.781,,12.32,1.781,-6.7,""""
36.984.32,21.5,2.506,,15.48,2.506,-9.2,II
45.806.10,26.63,3.609,,19.17,3.609,"""-0",
50.337.21,29.26,4.328,,21.07,4.328,10.9,
68.4414.30,39.79,9.263,,28.65,9.263,65.2,
72.4316.81,42.11,11.222,,30.32,11.222,78.0,
77.6021.05,45.11,14.798,,32.48,14.798,87.5,
85.8831.86,49.93,25.981,,35.95,25.981,105.5,
92.1847.57,53.59,50.353,,38.59,50.353,120.0,
95.7363.31,55.65,95.767,,40.07,95.676,134.5,
96.1065.47,55.87,100.0,,40.22,100,135.0,
98.8588.88,57.47,100.0,,41.39,100,137.5,
100100,58.14,,,41.86,,139.0,
aThese values were calculated,,,by the,comp iler .,,,
