0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1.51.5,,5.0210.05,,0.34 o .72,,369.0364.0  ± ±,,,2.01.0,,121.0,,380.1  ± 380.0  ±,,0.1,1.51.,
1.5,,15.1,,1.14,,362.7,,,0.1,,12.0,,,,,,
,,,,,,,,,,,,,,,0.5,,5.0
,,,,,,±,,,,,,,380.0  ±,,0.5,1.5,
1.5,,20.1,,1.61,,361.7  ±,,,0.1,,21.0,,' 380.0  ±,,0.5,1.5,
