0,1,2,3,4,5,6,7,8
66.5,117.5,45.95,4.01,-----,----,0.08,0.01,53.97
63.9,101.5,47.66,4.53,-----,----,2.76,0.56,49.58
61.0,80.2,50.88,5.61,-,,,,
58.556.0,82.076.0,48.3147.82,5.355.67,--------- -----,-------- ----,6.429.2112.47,1.532.213.20,42.7042.4839.71
52.4,88.0,41.89,4.64,-----,----,15.64,3.76,22.47
50.5,159.0,29.30,2.38,-----,----,12.87,2.27,57.83
48.3,292.0,18.52,1.21,-----,----,,,
,,,,,----,,,
,,,,,,9.67,1.37,71.81
39.8,435.0,11.18,0.67,-----,,10.38,1.35,78.42
33.0,249.0,14.21,1.01,-----,----,19.95,3.09,65.84
30.0,185.0,15.82,1.29,-,,,,
25.024.7,59.0121.0,23.6316.79,5.031.80,------- -------,-------- ----,26.6239.3054.23,4.7125.009.13,57.5643.9122.14
