0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2.002.12,,3.063.79,,3.513.97,,2.002.19,,5.416.70,,0.350.44,,---- ----,,--------,1.621.49,,0.180.16,,2.002.00,,11,,25.025.09
2.30,,6.01,,5.51,,2.50,,10.63,,0.74,,----,,----,1.27,,0.15,,2.01,,1,,24.64
2.40,,7.24,,6.38,,2.60,,12.80,,0.90,,----,,----,1.18,,0.14,,2.02,,1,,25.85
