0,1,2,3,4,5,6,7,8,9
7.7,0.70,----,----,-2.1,A,,,,
7.4,o .70,4.8,0.48,-3.3,II,,,,
7.0,o .70,9.1,0.94,-4.5,II,,,,
6.8,o .71,13.0,1.41,-5.5,II,,,,
6.5,0.70,16.7,1.89,- 0.6,,,,,
6.2,0.70,20.0,2.36,8.5,II,,,,
6.0,o .70,23.1,2.83,17.1,II,,,,
5.8,o.71,25.9,3.30,25.0,t i,,,,
5.6,0.71,28.6,3.78,30.8,t i,,,,
,,Section,II,,,,,,
15.4,1.52,----,----,-4.5,A,,,,
15.0,1.52,2.9,0.31,-5.0,II,,,,
14.6,1.53,5.7,0.62,- 5.6,II,,,,
14.2,11.53,8.3,0.93,- 6.1,II,,,,
13.9,1.54,10.7,1.23,-6.7,II,,,,
13.2,1.54,15.2,1.84,1.4,,,,,
12.8,1.52,17.3,2.15,8.9,II,,,,
12.5,1.53,19.3,2.46,13.6,II,,,,
12.2,1.53,21.3,2.78,19.8,II,,,,
12.0,1.53,23.1,3.09,24.5,II,,,,
117,",,.","'> /,R",'1 '10,"'1n,","""",( ... .... -.,t- .f nn n.4,n ...... ..,n o n n
