0,1,2,3,4,5,6,7,8,9,10,11,5_phase
70,,4.622.12,8.81,6.86,10.35,5.22,,20.403.77,,,55.82,
71,,3.372.1110.24,,10.91,3.47,2.39,,42.1010.63,,,40.82,
72,,3.042.1310.84,,12.89,2.10,1.62,,47.4213.36,,,36.59,
,,,,temp .,..75 °,,,,,,,C
73,,9.544.30,7.05,5.40,15.41,7.64,,11.282.05,,,56.72,
74,,4.403.6610.86,,15.34,1.70,1.55,,52.2517.50,,,30.78,
75,,9.583.96,7.02,4.94,18.32,8.33,,3.250.54,,,61.83,
76,,15.656.32,1.28,0.88,14.08,6.26,,5.700.93,,,63.29,
77,,13.585.67,3.27,2.32,14.78,6.79,,7.111.20,,,61.26,
78,,8.503.91,7.43,5.82,13.79,6.98,,14.742.74,,,55.55,
79,,7.673.68,7.87,6.42,12.14,6.41,,19.043.68,,,53.28,
80,,6.563.51,8.54,7.77,8.78,5.16,,28.256.09,,,47.85,
81,,5.443.61,9.55,10.80,4.12,3.01,,42.3911.35,,,38.49,
82,,4.423.68,10.95,15.50,1.78,1.63,,52.1617.52,,,30.69,
83,,13.145.24,3.61,2.45,16.50,7.24,,2.680.43,,,64.09,
84,,2.400.92,9.86,6.44,15.21,6.42,,5.940.92,,,66.59,
85,,4.541.90,9.06,6.44,13.98,6.43,,11.251.90,,,61.17,
86,,13.665.30,0.54,0.36,9.46,4.03,,10.391.63,,,65.95,
87,,10.614.27,2.45,1.68,7.68,3.40,,15.672.54,,,63.58,
88,,10.074.27,1.81,1.31,2.80,1.30,,24.984.27,,,60.33,
89,,9.584.13,2.92,2.14,4.50,2.14,,23.764.13,,,59.24,
,,,,temp .,""" 100 °",,,,,,,C
90,,11.206.03,6.86,6.28,12.92,7.64,,21.494.66,,,47.53,
91,,6.066.57,11.05,20.38,1.36,1.62,,57.9425.32,,,23.59,
92,,11.364.71,6.57,4.64,20.43,9.32,,00,,,61.64,
93,,12.655.91,7.27,5.78,21.17,10.88,,4.18 o .79,,,54.72,
94,,11.335.32,6.7,5.35,16.66,8.60,,10.852.05,,,54.47,
95,,10.535.98,7.18,6.93,11.08,6.91,,26.135.98,,,45.08,
96,,9.685.85,7.57,7.79,8.94,5.94,,31.497.67,,,42.31,
97,,8.546.09,8.48,10.29,5.55,4.35,,41.5711.95,,,35.85,
98,,7.716.08,9.09,12.20,3.81,3.30,,46.9614.93,,,32.42,
99,,7.636.36,9.33,13.24,3.28,3.01,,49.1316.53,,,30.64,
100,,6.526.78,10.66,18.83,1.52,1.74,,56.6923.75,,,24.60,
101,,6.166.50,10.9,19.56,1.48,1.71,,57.2124.32,,,24.25,
art,3.0,The points of simultaneous crystal1izat ion,,,,of,NaCl,+ KH o.2 Po 4 + NaH 2 Po,4.0,,· xH 2,
,,soln .,,,,,,,,,,
,,n0.:t./ 0 c,,eq% H +,eq%,Cl-,,X,,,,
,,1020,10.4,25.25,62.16,,,598.72,,,,
,,10312.5,8.52,36.77,44.93,,,475.02,,,,
,,10425,6.38,51.88,22.23,,,303.62,,,,
,,10530,5.47,57.33,14.00,,,239.02,,,,
,,10635,4.98,61.16,8.33,,,186.32,,,,
,,10740,4.85,62.60,5.99,,,163.11,,,,
,,10845,5.0,63.59,4.75,,,145.71,,,,
,,10950,5.01,64.08,3.86,,,131.90,,,,
,,11075,6.77,64.85,2.88,,,102.80,,,,
,,111100,8.47,65.27,2.10,,,71.6,6.0,,,
