0,1,2,3,4,5,6,7,7_phase
,b,,b,,b,b,solid a.,
mass%,mol/ kg,mass%,mol/kg,mass%,mol/ kg,mass%,phase,
--------,--------,21.90 ----,1.97 ----,---- 1,----,78.10,,A
2-1-. -15,"-2--,4-3",7.4620.75,o .741.89,-2.102--.3-0,-a--. a-s 0.16,87.7071.3977.15,B A B + + D,C
50.13,8.29,0.29,0.04,----,----,49.58,,C
47.72,7.54,0.39,0.05,----,----,51.89,,II
46.4842.11 ----,"7.15 --6,-0-0",-------- 19.41,---- ---- 1.73,0.251.780.36,0.030.040.14,53.2778.8157.53,E B,II
-------- ----,---- --------,16.018.291.51,1.370.670.12,1.7911.224.42,0.130.310.78,82.2087.2787.29,f 1 II,II
