0,1,2,3,4,5,6,7,8,3_phase
b 21.881.97,----,----,Na,50,,,,,
---- ----,12.2780,0.85,2 Na3P04,,4b,,,,
20.750019.41201.891.73,2.10231.7860,0.170.14,Na 2 50 ·4 Na 10H Po O + Na ' l2H3o,,Po 4,• 12H,2.0,o,
19.39201.73,1.7970,0.14,34,,2,,,,
15.66401.34,2.1920,0.16,,,,,,,
15.66001.34,2.2730,0.17,,,,,,,
13.58001.14,2.6500,0.19,,,,,,,
13.56791.14,2.6190,0.19,,,,,,,
10.25300.84,3.8140,0.27,,,,,,,
10.29600.84,3.7990,0.21,,,,,,,
7.43100.60,5.1920,0.36,,,,,,,
7.38300.60,5.2710,0.37,,,,,,,
4.49200.36,6.9630,o .48,,,,,,,
4.43180.35,7.0250,0.48,,,,,,,
1.51300.12,11.2200,0.78,,,,,,,
"1-.4--5-70  -0-,-12-",10.67210.613,o .740.72,"""",,,,,,II
