0,1,2,3,4,5,6,7,8,9,7_phase
0.oo,0.oo,12.83,1.060.00,,0.00,87.17,,,,A
0.00,0.00,0.oo,0.oo 12.23,,0.79,87.77,,,,B
52.90,5.29,0.oo,0.000.00,,0.00,/17.10,,,,C
0.oo,0.oo,1.88,0.1510.28,,0.67,87.84,A +,,,C
21.97,1.43,6.01,0.600.oo,,0.oo,72.02,C +,,,D
2.49,0.13,10.58,0.880.00,,0.oo,86.93,A +,,,D
4.89,0.26,2.28,0.185.90,,0.38,86.93,A + D +,,E,
1.85,0.09,0.00,0.oo 10.51,,0.68,87.54,B +,,,F
2.79,0.15,0.46,0.0310.48,,0.69,86.27,B + E +,,F,
4.97,0.25,1.03,0.082.58,,0.16,91.42,D + E +,,F,
17.54,1.07,2.98,0.282.88,,0.21,76.60,C + D +,,F,
24.21,1.58,0.oo,0.oo 3.84,,0.30,71.95,C +,,,F
2.29,0.12,0.72,0.0610.14,,0.66,86.85,A + B +,,E,
,,,temp .  • 60° c.,,,,,,,
0.oo,0.oo,22.46,2.090.00,,0.oo,77.54,,,,A
0.oo,0.00,0.oo,0.oo 15.38,,1.04,84.62,,,,B
61.55,7.54,0.oo,0.oo 0.oo,,0.00,38.45,G,,,
0.oo,0.oo,3.37,0.2913.84,,0.95,82.79,A + G,,,
4.32,0.26,18.11,1.690.oo,,0.oo,77.57,A + H,,,
24.93,1.78,9.12,1.000.00,,0.00,65.95,G + H,,,
