0,1,2,3,4,5,6,7,8,9,4_phase
7.8,5.59,1.95,3.0,2.150.18,,28.7,20.57,2.02,71.68,
7.9,5.55,1.98,6.0,4.220.36,,28.4,19.96,2.00,70.27,
8.0,5.53,2.00,8.6,5.940.52,,28.1,19.42,1.98,69.11,
7.6,5.07,1.90,14.7,9.800.90,,27.7,18.45,1.95,66.67,
"19,l",13.84,4.78,2.9,2.100.18,,16.0,11.59,1.13,72.46,
19.8,13.98,4.95,5.9,4.170.36,,15.9,11.29,1.12,70.62,
19.5,13.53,4.88,8.7,6.040.53,,15.9,11.03,1.12,69.40,
19.8,13.39,4.95,12.2,8.250.74,,15.9,10.75,1.12,67.61,
,,,,temp. = 250°,,,,,,C
8.1,5.50,2.02,1.5,1.020.09,,37.7,25.59,2.65,67.89,
8.0,5.33,2.00,3.0,2.000.18,,39.1,26.05,2.75,66.62,
8.1,5.36,2.02,3.7,2.450.22,,39.3,26.01,2.77,66.18,
7.9,5.22,1.98,3.8,2.510.23,,39.5,26.12,2.78,66.14,
8.1,5.35,2.02,3.8,2.510.23,,39.4,26.04,2.77,66.09,
8.2,5.60,2.05,4.0,2.730.24,,34.1,23.31,2.40,68.35,
8.4,6.14,2.10,3.5,2.560.21,,25.0,18.26,1.76,73.05,
8.4,6.47,2.10,3.4,2.620.21,,18.0,13.87,1.27,77.04,
8.4,6.84,2.10,3.3,2.690.20,,11.0,8.96,0.77,81.50,
