0,1,2,3,4,5,6,7
Part 2.,The compiler has calculated,the,,following r esults f rom,the data,in Part,1.
,,+,,,,,
soln .,Na,+ K,,C l-,11 Po2 ;,,1102
no .,mass%,mol/kg mass% mol/kg,,mass% mol/kg,mass%,mol/kg,mass%
1,7.44,4.786.902.60,,17.767.38,0.oo,0.oo,67.88
2,7.55,4.966.982.69,,17.317.36,1.85,0.29,66.31
3,7.67,5.167.082.80,,17.027.41,3.43,0.55,64.78
4,7.65,5.197.002.78,,16.507.24,4.54,0.73,64.31
5,7.71,5.256.892.75,,16.327.19,5.01,0.81,64.06
6,7.88,5.416.822.75,,16.337.26,5.50,0.90,63.46
7,8.02,5.576.952.84,,16.587.46,5.73,0.95,62.72
8,8.28,5.776.542.68,,16.407.40,6.30,1.05,62.48
9,8.48,6.006.682.77,,16.787.68,6.46,1.09,61.60
10,0.00,0.oo 15.195.61,,12.735.18,2.82,0.42,69.27
11,1.66,1.0814.06.5.38,,14.065.93,3.38,0.53,66.84
12,2.68,1.7412.484.76,,14.065.92,3.79,0.59,66.99
13,4.71,3.1510.444.10,,15.046.51,4.61,0.74,65.20
14,6.16,4.098.193.19,,15.106.49,4.97,o .79,65.59
15,7.28,4.967.583.03,,15.526.84,5.63,0.92,63.98
16,9.52,10.383.111.99,,o.oo 0.oo,47.43,12.37,39.96
17,9.82,10.633.091.96,,1.06 o .75,45.77,11.84,40.26
18,10.53,11.853.422.25,,3.012.19,44.30,11.91,38.74
19,10.32,10.503.251.94,,4.432.92,39.16,9.52,42.83
20,10.06,9.563.321.85,,5.673.49,35.12,7.98,45.84
21,10.43,10.003.431.93,,6.664.13,34.01,7.79,45.46
22,9.47,7.813.161.53,,7.554.02,26.95,5.31,52.87
23,9.71,8.003.321.61,,8.614.59,25.48,5.02,52.88
24,9.41,7.273.421.55,,9.934.97,20.86,3.85,56.38
25,9.54,7.124.061.78,,12.806.18,15.20,2.71,58.40
26,9.03,6.495.172.18,,14.776.88,10.45,1.80,60.58 '
27,8.36,5.886.102.52,,l!> .44 '  7.03,8.13,1.37,61.98
