0,1,2,3,4
"+ pho sphoric  aci d,",tr i sodium,s a 1t,,"E 13,E 14.26 - 36"
+ pota s s i um hydroxide,,,,E 168 - E 171.184 - 202
+ pota s s i um oxide,,,,269.270
"Phosphor i c  acid,ca 1c i um s a 1t  ( aqueous )",,,,
+ ca 1c i um ch 1oride,,,,271
+ phosphoric  acid,,,,264 - 266
"+ phosphoric  acid,",monopota s s i um,s a 1t,,264 - 266.271
+ pota s s i um ch 1oride,,,,271
"Phos phor ic  acid,coppe r ( 2 + )  s a 1t",,,,
+ water,,,,148
"Phosphoric  acid,copper ( 2 + )  s a 1t",( aqueous ),,,
"+ phosphor ic  acid,",tri sodium,s a 1t,,E 127.148
"Phosphor i c  acid,di ammonium sa 1t",,,,
+ water,,,,313
"Phosphoric  acid,diammonium s a 1t",( aqueous ),,,
+ ammonium c h 1or ide,,,,119.120
"+ phosphoric  acid,",di sodium s a 1t,,,117.119.120
"+ pho sphoric  aci d,",monoammon ium,s a 1t,,86.87
"+ pho sphoric  acid,",monorubidium,s a 1t,,"E 308,E 309.313"
"+ phosphoric  aci d,",monos od i um,s a 1t,,E51.86.87
+ s od i um ch 1oride,,,,119.120
"Phos phor ic aci d,dipotas s i um sa 1t",,,,
+ wate r,,,,172 - 174
"Phosphori c  acid,dipota s s i um s a 1t",( aqueous ),,,
+ phosphoric  acid,,,,174
"+ phosphoric  acid,",di sodium s a 1t,,,108.109
"Phos phor ic  aci d,d i s odium s a 1t",,,,
+ wate r,,,"23,",E 98 -E102.103 - 126
"Phosphoric  acid,di sodium s a 1t ( aqueous )",,,,
+ ammonium ch 1oride,,,,119.120
+ bor ic  acid,,,,E 98.118
"+ bor i c  acid,s od i um",s a 1t,,,E 98
"+ N,N - - 1.2 -ethaned i y 1bi s ( N- carboxyme thy 1) g 1ycine,",,,,
d i s odium s a 1t,,,,E 98.116
+ hydrogen perox ide,,,,E 98.107.113
+ methano l,,,,"E 98,E 1O l,126"
"+ n i t r i c  acid,sodium",s a 1t,,"E 98,","E 1O l,110.121 - 123"
"+ perch 1or i c  acid,",d i ammonium,s a 1t,,117.119.120
+ phosphoric  acid,,,,23.37.38
"+ pho sphoric  acid,",dipota s s i um,s a 1t,,"E 98,E 1O l,108.109"
"+ phosphoric  aci d,",magne s i um,s a 1t,,"E 1O l,115"
+ 2 -propanone,,"E 98,","E 1O l,","124.125,E 129"
"+ s i 1i c i c  acid,sodium",s a 1t,,,E 98.114
+ sodium ch 1oride,"E 98,","E 1O l,",,111.119.120.121
+ sodium hydroxide,,"E 13,","E 14,",18.19.22.37.38
"+ s u 1furic  acid,s odium",s a 1t,,,E 98.112.122.123
"Phosphor i c  acid,1i th i um s a 1t",,,,
+ water,,,,E 1- E6.7
"Phosphor i c  acid,1i th i um s a 1t ( aqueous )",,,,
+ ammoni a,,,,E 3.8
+ 1i thium hydroxide,,,,"E4.9,10"
+ 1i thium oxide,,,,9.10
+ phosphoric  acid,,,,"E4.9,10"
"Phos phor ic  acid,magne s i um s a 1t",( 1 : 1 )  ( aqueous ),,,
"+ pho sphor i c  acid,",di sodium s a 1t,,,"E 1O l,115"
"Phos phor ic ac i d,monoammonium s a 1t",,,,
+ water,,,,55 - 58
"Phosphoric  acid,mono ammonium s a 1t",( aqueous ),,,
+ ammonium ch 1or ide,,,,90
