0,1,2,3,4,5,6,7,8,9,10,11,11_phase
C Na+ a,,,CP03 - 4,a,,mass%,mol/kg,mass%,mol/kg,mass% mol/kg,phase c.,
4.28,,,0.040,,,0.66,0.05,17.07,5.18,---- ----,,A
3.24,,,0.183,,,3.00,0.22,12.72,3.77,---- ----,If,
2.242.73,,,0.7521.08,,,12.2614.94,0.851.09,---- --,--------,0.050.01,I f,
3.482.62,,,1.331.09,,,19.0414.33,1.461.04,------- ---,---- ----,1.671.672.120.200.210.26,11d A +,B
1.562.38,,,0.781.60,,,8.5413.02,0.581.00,"_-_- -,..-_",------- -,2.550.29,I f,
3.18,,,2.24,,,17.40,1.49,----,----,7.9011.561.661.02,II,II
4.65,,,3.55,,,25.44,2.82,----,----,19.603.64,,II
5.63,,,3.87,,,30.80,3.77,----,----,,,
6.316.76,,,4.634.88,,,34.5236.99,5.166.04,--------,--------,19.53 d 24.7625.744.016.207.05,""" C""",
7.316.76,,,5.554.88,,,40.0036.99,8.256.04,--------,--------,30.5125.7410.567.05,metastab1e  soln C +,
6.19,,,4.68,,,33.87,5.09,----,----,25.646.46,",r",
6.01,,,4.67,,,32.88,4.88,----,----,26.136.51,,II
5.12,,,4.36,,,28.01,3.70,----,----,,"""",
4.81,,,4.22,,,26.32,3.33,----,----,26.0025.645.775.45,,II
4.36,,,4.08,,,23.86,2.88,--,,,,
4.06,,,4.03,,,22.21,2.62,------,--------,25.7426.2 II  35.215.19,"""",
