0,1,2,3,4,5,6,7,8,9,10,8_phase
28.42,2.01,0.oo,0.oo,5.21,0.45,66.37,,G +,,,I
5.14,0.29,0.oo,0.oo,12.22,0.84,82.64,,B +,,,I
5.93,0.34,6.11,0.54,6.58,0.46,81.38,A,+  H +,,J,
0.74,0.04,2.21,0.18,12.09,0.81,84.96,A +,B +,,J,
15.09,0.91,4.00,0.37,3.17,0.23,77.74,G +,H +,,I,
3.00,0.15,1.21,0.09,7.2,0.46,88.59,H,+ I +,,J,
1.39,0.07,0.45,0.03,12.11,0.80,86.05,B,+ I +,,J,
