0,1,2,3,4,5,6,7,8,9,9_phase
mass%,mol%,mass%,mol%,mass%,mol/kg,mass%,mol/kg,mass%,mol/kg phase,
,,,,,t emp .,0° C .,,,,
2.23,0.67,1.75,0.23,3.93,0.25,,,0.06,0.oo,A
2.10,0.62,0.61,0.08,1.41,0.08,1.67,0.43,,,A
3.03,Q.92,2.25,0.30,5.20,0.33,0.10,0.02,,,A
0.754,0.22,0.855,0.11,1.33,0.08,,,0.38,0.04 Bl2,
o .746,0.22,0.840,0.11,1.31,0.08,,,0.37,0.03 Bl2,
9.28,3.58,21.26,3.58,16.39,1.55,,,19.58,3.12 C2,
9.36,3.66,21.43,3.66,16.53,1.58,,,19.73,3.15 C2,
,,,,,t emp . ..,2s0c .,,,,
30.35,11.23,0.16,0.025,0.37,0.03,38.90,16.01,,---- D0.5,
28.61,10.44,0.28,0.045,0.64,0.06,36.45,14.48,,---- D0.5,
28.30,10.21,0.31,0.oso,0.71,0.06,36.00,14.22,,---- D0.5 + D6,
26.48,9.49,0.28,0.042,0.64,0.06,33.70,12.83,,---- D6,
24.77,8.75,0.30,0.046,0.69,0.06,31.46,11.59,,---- D6,
23.73,"B,32",0.29,0.043,0.67,0.05,30.13,10.88,,---- D6 +,A
20.82,7.10,0.22,0.033,0.50,0.04,26.50,9.07,,,A
12.31,3.86,0.31,0.043,0.71,0.os,15.13,4.49,,,A
s .75,1.75,o .75,0.099,1.73,0.11,6.15,1.67,,,A
4.65,1.41,1.40,0.186,3.23,0.21,3.63,0.97,,,A
4.61,1.41,2.50,0.335,5.78,0.38,1.72,0.46,,,A
4.79,1.48,2.70,0.363,6.24,0.41,1.61,0.43,,,A
