0,1,2,3,4,5,6,7,8,9,10
120,,,0.604.77,2.18,3.19,0.60,4.77,,2.183.19,1.1585
225,,,0.104.76,2.18,3.28,0.70,4.72,,2.183.24,1.164
340,,,1.004.49,2.31,3.18,1.00,4.39,,2.313.08,1.169
460,,,1.504.36,2.44,3.42,1.50,4.36,,2.443.42,1.188
575,,,2.204.36,2.82,3.74,2.20,4.26,,2.823.64,1.236
680,,,2.504.23,2.95,3.78,2.50,4.22,,2.953.77,1.2479
comp iler,has,,recalculated,these values as,,follows:,,,,
,H/04,,,chloride,,po tass ium,,,ammonium,
Nr mass%,,,mol/kg mass%,,mol/ kg,mass%,mol/kg,,mass% mol/kg,
"1(A,B) 5.02",,,0.7614.60,,6.04,7.35,2.76,,4. '354.03,
2,,,0.8914.50,,6.07,7.32,2.78,,5.074.18,
2,,,0.8914.38,,6.01,7.32,2.77,,5.014.11,
3,,,1.3013.62,,5.86,7.72,3.01,,4.894.14,
3 (8 )  8.29,,,1.2913.32,,5.69,7.72,2.99,,4.743.99,
"4 (A,B ) 12.24",,,2.0513.01,,5.96,8.03,3.33,,5.184.67,
S (A) 17.26,,,3.1812.51,,6.31,8.92,4.08,,5.445.40,
S {B )  17.26,,,3.1612.22,,6.12,8.92,4.05,,5.305.22,
6,,,3.7212.02,,",6.29",9.24,4.39,,5.455.61,
6 (B ) 19.43,,,3.7111.99,,6.27,9.24,4.38,,5.43 s.s9,
