0,1,2,3,4,5,6,7,8,9,9_phase
mass%,mo l%,mass%,mol%,mass%,mol/kg,mass%,mol/kg,mass%,mol/kg phase,
11.43,6.82,49.48,12.90,20.18,5.22,----,----,56.28,24.41,C
11.39,6.89,50.32,13.29,20.11,5.47,----,----,57.48,26.19,C
11.19,6.90,51.52,13.87,19.76,5.76,----,----,59.35,29.00,C
10.89,7.02,54.09,15.23,19.23,6.67,----,----,63.21,36.76,C
8.917.59,5.624.77,54.5355.46,15.0215.23,15.7313.40,5.224.53,--------,---- ----,65.9168.58,36.6538.86 F,F
6.013.63,3.732.83,56.1159.01,15.2216.30,10.616.41,3.542.45,--------,---- ----,71.1477.65,39.8049.73 F,F
,,,,,"t emp,= 80° C .",,,,,
36.39,14.30,0.140,0.024,0.32,0.03,46.73,22.06,----,,D
32.11,12.10,0.210,0.034,0.48,0.05,41.09,17.58,----,,D
30.64,11.42,0.314,0.051,o .72,0.07,39.01,16.18,----,,D
30.28,11.26,0.373,0.061,0.86,0.os,38.45,15.84,----,,D
29.85,11.06,0.514,0.083,1.18,0.11,37.65,15.39,----,---- D0.5,
28.03,10.24,0.605,0.096,1.39,0.13,35.15,13.85,----,---- D0.5,
27.72,10.07,0.617,0.098,1.42,0.13,34.73,13.60,----,---- D0.5,
25.60,9.25,1.65,0.26,3.81,0.35,30.25,11.47,----,---- D0.5,
25.24,9.12,1.79,0.28,4.13,0.38,29.55,11.14,----,---- D0.5,
24.83,9.11,2.60,0.41,6.01,0.55,27.65,10.42,----,---- D0.5,
23.87,8.75,4.29,0.69,9.92,0.90,23.55,8.85,----,---- D0.5  + D6,
21.61,8.11,8.35,1.37,19.31,1.75,13.77,5.14,----,---- D6,
21.35,8.35,12.15,2.08,28.09,2.63,7.01,2.70,----,---- D6,
23.20,9.98,18.20,3.41,40.98,4.28,----,----,0.69,0.12 D6,
24.51,11.07,20.96,4.13,43.29,4.92,----,----,3.13,0.59 D6,
22.94,10.50,23.29,4.66,40.52,4.79,---,,,,
20.59,9.25,23.56,4.61,36.37,4.19,-----,---- ----,8.0010.84,1.582.09 B2 B2,
,,,,,"temp. """,100 ° c .,,,,
38.36,15.36,0.41,0.072,0.94,0.11,48.81,24.29,----,,D
30.05,11.17,0.50,0.13,1.85,0.18,37.43,15.41,----,,D
26.19,9.48,1.32,0.21,3.07,0.28,31.55,12.06,,,
23.79,8.70,4.17,0.67,9.64,0.88,23.65,8.86,--------,-------- D,D
24.37,9.46,9.26,1.57,21.41,2.07,15.79,6.29,----,,D
24.26,9.45,9.53,1.62,22.03,2.13,15.20,6.05,----,,D
25.98,10.76,13.18,2.38,30.48,3.18,11.24,4.82,----,,D
25.43,10.50,13.41,2.42,31.0l,3.21,10.15,4.31,----,---- D0.5,
24.97,10.42,14.00,2.66,33.76,3.50,7.54,3.21,----,---- D0.5,
25.18,10.66,15.62,2.89,36.12,3.80,6.09,2.63,----,---- D0.5,
25.76,11.18,16.93,3.20,39.15,4.24,4.62,2.05,----,---- D0.5,
26.51,11.74,17.79,3.43,41.14,4.58,4.13,1.89,----,---- D0.5 ',
26.75,12.03,18.87,3.70,43.63,4.94,2.62,1.22,----,---- D6,
26.90,11.86,19.29,3.71,44.61,5.10,2,,,,
27.89,13.22,21.77,4.51,49.26,5.99,---.1-0,0.98 ----,---- 0.68,---- 0.14 D6 D6,
28.31,13.69,23.01,4.86,50.00,6.34,----,----,1.95,0.41 D6,
27.4825.73,13.3012.35,23.4624.29,4.955.08,48.5445.44,6.165.75,------ --,---- ----,3.456.44,o .731.36 B,B
24.69,11.73,24.59,5.10,43.61,5.48,----,----,7.95,1.67,B
23.53,11.08,24.84,5.12,41.56,5.17,----,----,9.52,1.98,B
22.13,10.35,25.56,5.22,39.09,4.86,----,----,11.98,2.50,B
23.39,12.56,33.64,7.90,41.31,6.82,----,----,21.81,6.03,B
24.3423.0722.54,13.9313.1413.31,36.6138.0939.21,9.1510.009.57,42.9940.7539.81,8.168.028.14,-------- ----,---- --------,24.9130.4028.29,7.9210.419.33  B + E E,E
22.3322.40,13.1813.31,40.0042.73,10.3211.64,39.4439.56,8.339.63,--------,--------,31.7135.41,11.2214.44 E + E,C
