0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3.75,4.07,1.54,6.05,3.56,0.23,2.65,0.71,,,,,,,
4.00,4.20,1.24,7.75,2.87,0.19,3.32,0.89,----,----,3.223.23,,11.0,,24.15
4.505.00,4.474.77,0.950.83,10.7813.2,2.201.92,0.140.12,4.164.75,1.111.27,--------,---- ----,3.233.23,,11.0,,24.1223.98
7.00,8.17,0.35,52.8,0.81,0.06,9.95,2.79,----,----,3.23,,1.0,,24.11
9.00,13.18,0.20,144.9,0.46,0.03,16.67,5.03,----,----,3.24,,1.0,,24.32
,17.86,0.08,,0.18,0.01,22.92,7.45,----,----,,,,,
,21.73,0.09,,0.21,0.02,27.90,9.70,----,----,,,,,
