-0.2 1.0,0.021,ice,-13.5,46.2,1.80,A
-0.5 2.0,0.040,,-15.0,47.7,1.90,A
-1.0 5.2,0.110,,-16.6,49.8,2.07,A
-1.5 9.0,0.210,,-19.1,51.0,2.17,A
-2.1 13.0,0.311,,-23.3,53.1,2.36,A
-2.9 16.0,0.397,,-25.0,55.7,2.62,A
-4.0 20.0,0.521,,-28.6,58.0,2.88,A
-4.6 23.5,0.640,,-31.3,59.2,3.02,A
-5.4 26.4,0.747,,-35.0,60.6,3.20,A
-5.6 27.3,0.782,,-40.6,62.0,3.40,A
-6.0 33.0,1.030,,,,,
-6.6 Bb-9.0 37.0 41.0,1.220 1.450,,-43.5 -22.0,64.0 64.2,3.70 3.73,B
