g/100 cm- 3,sIn,:,Unnamed: 0,89.44,79.41,61.49,49.25,38.94
g/100 g,solvent:,,,182.25,151.76,105.0,79.31,58.05
"bmol """,,:,,35.44,3!l. 66,37.23,35.59,28.8
