0,1.17,0.0817,0.0454
10,1. 90,0.134,0.0743
20,2.09,0.212,0.0818
25,3.75,0.268,0.149
30,4.46,0.321,0.179
40,6.28,0.461,0.257
50,8.56,0.642,0.359
