0,2.12,0.230,0.128,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
10,3.44,0.378,0.211,,,,
20,5.02,0.561,0.313,,,,
25,6.17,0.696,0.389,,,,
30,7.47,0.841,0.478,,,,
40,10.34,1.228,0.683,,,,
50,13.74,1.67,0.943,,,,
60,18.1,2.303,1.308,,,Q,U
70,22.51,3.005,1. 720,,,,
80,27.72,3.929,2.270,~,~,'\,",/"
90,32.91,4.972,2.904,,,,.~
100,38.59,6.281,3.720,/,"""""-",,
