-,21.1,30.0,23.07,Unnamed: 0,ice +,NaCl·2H 2 0
-,10.0,32.8,24.7,,NaCl·2H 2 0,
,o,35.6,26.25,1.209,NaCl,
,0.1,35.6,26.27,,NaCl +,NaCl·2H 20
