7.n,8.35e,8.51,0.26d
7.4,3.26b,8.56,0.29d
7.7,2.34b,8.6,0.22a
7.8,1.73c,8.73,0.14a
8.12,0.74c,8.88,O.na
8.12,1.57~,8.92,0.19a
