5,3.642,0.4061,0.2263,1.024,KBr03
10,4.51,0.5069,0.2828,1.035,""""
15,5.397,0.6117,0.3416,1.042,""""
20,6.46,0.7395,0.4135,1.048,""""
25,7.533,0.8712,0.4878,1.054,""""
30,8.785,1.028,0.5767,1.062,""""
35,10.13,1.201,0.675,1.074,""""
40,11.58,1.393,0.7842,1.083,""""
45,13.08,1.597,0.9011,-,""""
50,14.69,1.824,1.031,-,""""
