5,21.42,3.152,1.807,1.194,NaBr03
10,23.24,3.489,2.006,1.211,""""
15,24.94,3.816,2.202,1.232,""""
20,26.69,4.166,2.413,1.248,""""
25,28.29,4.498,2.614,1.257,""""
30,29.85,4.835,2.82,1. 284,""""
35,31. 35,5.17,3.026,1.288,""""
40,32.80,5.507,3.235,1.310,""""
45,34.22,5.848,3.448,-,""""
50,35.55,6.179,3.656,-,""""
