o,1.07,0.0633,0.0351
10,1. 57,0.0933,0.0518
20,2.29,0.137,0.0761
25,2.62,0.157,0.0874
30,2.99,0.18,0.1
40,4.00,0.243,0.135
50,[•. 05,0.31,0.173
60,6.20,0.385,0.215
70,7.62,0.481,0.268
80,9.08,0.581,0.324
90,10.85,0.707,0.395
100,12.58,0.835,0.468
