0,1,2,3,4,5,6,7,8,9,10,11
C Na+ a,,,CP03 - 4,a,,mass%,mol/kg,mass%,mol/kg,mass% mol /kg,phase c.
4 . 2 8,,,0. 040,,,"0 , 66",0 . 05,17 . 07,"5 , 18",---- ----,A
"3 , 24",,,0 . 183,,,3 . 00,0 . 22,"12 , 72",3 .  7 7,---- ----,If
"2 . 24 2 , 73",,,"0 , 7 52 1 . 08",,,12 .26 14 . 94,0 . 85  1 . 09,---- --,--------,"0 , 05 0 . 01",I f
"3 , 48 2 , 62",,,"1,3 3 1 . 09",,,"19 , 04 14 . 33","1 . 46  1,04",------- ---,---- ----,"1.67 1 . 6 7  2 .12 0 . 20 0 , 2 1  0 , 26",1 1d A + B
"1 . 56 2,3 8",,,"0 , 78 1 . 60",,,8.54 13 . 02,"0,58 1 . 00","_-_- -,..-_",------- -,"2 , 55 0 . 29",I f
3 . 18,,,2 . 24,,,17 . 40,1 .49,----,----,7 . 90 11 . 56 1 . 66 1 . 02,I I  I I
"4 , 65",,,"3,5 5",,,2 5 . 44,2 . 82,----,----,19.60 3 . 64,I I
"5 , 63",,,"3 , 87",,,3 0 . 80,3 . 77,----,----,,
"6 . 31 6 , 76",,,4 . 63 4 . 88,,,"34 . 52 36 , 99","5 . 16 6 , 04",--------,--------,"1 9 . 53 d 24 . 76 25 . 74 4 . 01 6 . 20 7 , 05",""" C"""
"7,31 6 . 76",,,"5 , 55 4 , 88",,,"40 , 00 3 6 , 99",8 . 25 6 . 04,--------,--------,"30,51 25 . 74 10 , 56 7 , 05",metastabl e  soln C +
"6 , 19",,,4 . 68,,,33 . 8 7,5 . 09,----,----,25 . 64 6 . 46,",r"
"6 , 01",,,"4 , 67",,,32 . 88,4 . 88,----,----,26 . 13 6 . 51,I I
"5 , 12",,,4 . 36,,,28 . 01,3 . 7 0,----,----,,""""
4 . 81,,,4 . 22,,,26 . 32,3 . 33,----,----,2 6 . 00 25 . 64 5 . 7 7  5 . 4 5,I I
"4,36",,,4 . 08,,,"23 , 86","2 , 88",--,,,
"4 , 06",,,4 . 03,,,22.21,"2 , 62",------,--------,"25 . 74 26 , 2 I I  3 5 , 21 5 , 19",""""
