0,1,2,3
321 . 6,0 . 092892,5.69,44. 7 1
323 . 2,0 . 09265 7,"5 , 6 7",44 . 64
"328 , 2",0.093014,5.70,44.75
333 . 2,"0 , 0 94587",5.80,45.20
3 38 . 2,0 . 097088,5.9 7,45 . 92
34 3.2,0.10026,6 . 19,46 . 81
348 . 2,0 . 10386,6 . 44,4 7.7 8
353 . 2,0 . 10762,6 . 70,48.78
358.2,0.11126,6 . 95,4 9. 72
363 . 2,0.11451,7 .18,50 . 52
368.2,0.11707,7 . 36,51.15
"373 , 2",0 . 11865,"7 , 48",5 1 . 5 3
