0,1,2,3,4,5,6,7,8,9
,b,,b,,b,b,,solida.,
mass%,mol / kg,mass%,mol/kg,mass%,mol/ kg,mass%,,phase,
30 . 23,3 . 64,1 . 31,0 . 14,0 . 4 6,0 . 04,68 . 00,,E + C,
28 . 42,3 . 3 5,1 . 61,0.16,0 . 39,0 . 03,69 . 58,,1 1,
28.00,3 . 27,1 . 4 5,0 . 14,0 . 28,0 . 02,7 0 .27,,A +  F,
22.94,2 . 54,2 . 81,0 .27,0 . 29,0 . 02,73 . 96,,I I,
26 . 07,2 . 97,1 . 3 6,"0 , 13",0 . 54,0.04,72 . 03,B,+ E +,F
26 . 10,2 . 9 5,1 . 21,0 . 12,0 . 19,0 . 02,72 . 50,,1 1,
22 . 00,2 . 38,1 . 61,0 . 15,0 . 64,"0 , 05",7 5 . 7 5,,B + F,
18 . 06,1 . 84,1.09,0 . 10,0 . 58,0 . 04,80 . 27,,I I,
2 . 42,0.20,0 . 01,o.oo,0 . 81,0 . 05,9 6 .  7 6,,I I,
"0 , 65",0 . 0 6,2 .46,0 . 18,2 . 06,"0 , 13",9 4 . 83,,I I,
