0,1,2,3,4,5,6,7,8,9
+20 10 . 40,"25 , 50",1 . 05,17.32,74 . 50,3.98,69 . 28,9 93,I I,
+2 0 11 . 40,15 .80,1 . 3 5,2 6 . 58,84 . 20,7 . 13,"62 , 02",654,I I,
+20 9 . 20,10.00,"1 ,24",36 .30,90 . 00,11 . 08,54 . 50,449,I I,
+20 8 . 00,7 . 90,1 . 16,41 . 40,92 . 10,13 . 62,50.60,37 5,I I,
+20 7.60,6 . 80,1 . 20,4 6 . 20,93 . 20,16 . 65,46 . 20,311,I I,
+20 4.57,3.80,o . 7 2,4 9 . 20,96 . 20,17 . 71,4 6 . 23,300,urea,
+20 1.97,1 . 7 0,0 . 30,50 . 60,98 .30,17 . 7 6,4 7 . 43,306,I I,
+20 0,0,0 . 00,51.80,100,17.89,48 . 20,310,I I,
"+25 19 ,80",100,1.81,0,0,o . oo,8 0 . 20,3 056,KH P0,
+25 17 . 10,4 5 . 40,4 1.68,"8 , 29",54 .60,1 . 85,7 4 . 61°,1639,,
+25 14 . 40,27 . 20,1.54,17 . 12,72 .80,4 . 16,68 . 48,972,"""",
+25 12 . 20,"17 , 00",1.4 5,2 6 . 34,83 . 00,7 . 18,61 . 46,645,"""",
+25 9 . 7 0,10 . 60,1 . 31,36 . 10,89 . 4 0,11.08,54 . 20,446,I I,
+2 5 8.50,8 . 40,1 . 24,41 . 15,91 .60,13 . 60,50.4 5,3 7 4,"""",
+2 5 8.00,7 . 10,1 . 27,46.00,"93 , 20",16 . 65,4 6 . 00,309,"""",
+25 4 . 32,"3 , 40",o . 72,"52 , 00",96 . 60,19 .82,43 . 69,2 69,urea,
+25 1 . 86,1.50,"0 , 3 0",53 . 4 0,98 . 50,19.87,4 4.74,27 5,I I,
+25 0,0,"0 , 00",54 . 50,100,19.94,4 5 . 50,278,I I,
+35 22 . 90,100,2 . 18,0,0,0 . 00,7 7  . 10,2545,KHto,
+3 5 19 . 70,52 . 00,4 2.00,8.03,48.00,1 .85,72.27,1440,,
+3 5 16 . 70,3 0 .80,1 .84,16 . 66,69 . 20,4.16,66 . 64,924,I I,
+3 5  14.40,19 . 3 9,1 . 7 6,25 . 80,80. 7 0,7 . 13,"60 , 20",627,"""",
+35 11 . 20,"12 , 20",1 . 54,"35 , 50",87 .80,11 . 09,"53 , 3 0",435,"""",
"+35 9 ,80",9.60,1 . 4 5,"40 , 55",9 0 . 40,13 . 61,4 9 . 65,368,I I,
+3 5 8 . 7 0,7 .80,1.40,40 . 65,92 . 20,16 . 65,4 5.65,306,I I,
+3 5 8 . 00,"6 , 30",1 . 41,5 0 . 6 0,93 . 70,20 . 3 5,41 . 40,256,I I,
+35 3 . 82,2.80,o .  7 2,57 . 50,9 7 . 20,24 . 7 5,"39 , 68",226,urea,
+3 5 1.64,1 . 20,0 .30,59.00,98 .80,24 . 95,"39 , 36",218,I I,
+35 0,0,0 . 00,59.50,100,24 . 4 6,4 0 . 50,227,I I,
Part  2. Monovariant,and,invariant,points .,,,,,,
,KH2Po4,,,CO (NH2),,H20,,,
t./ O C a mass%,concn b,mol/kg,mass%,concn 5,mol/kga,b mass%,concn,solid phases,
-5.1 9 . 40,3 1.40,0 . 84,9 . 06,68 . 60,1 .8 5,81 . 50,2057,ice,
-8 . 5  8 . 30,16 . 7 0,0 . 83,18.34,83 .3 0,4.16,73.36,1111,"""",
- 12 . 0 7 . 30,10 . 40,0.82,2 7.81,"89 , 60",7.13,64.89,696,I I,
"+0 , 6  7 . 20","7 ,80",0 . 94,37.10,92 . 20,11 . 09,"55 , 7 0",460,urea + KH,Po
"+8 . 6  7 , 31","7 , 10",1.05,41 . 7 0,"92 , 90",13 . 61,51 . 00,3 7 7,I I  2,4
+18 . 2  7 . 60,6 .80,1 . 20,"46 , 20","93 , 20",16.65,4 6 . 20,3 11,"""",
"+27 , 5  7 .80","6 , 10",1.38,5 0 . 7 0,"93 , 90","20 , 34",41 . 50,255,I I,
-11 . 7 2 . 74,3 . 70,0 .30,31.15,"9 6 , 3 0",7 . 84,65 . 7 6,670,urea + ice,
+10 . 0  2 . 20,2 . 10,0 . 30,4 5 . 10,9 7 . 90,14 . 24,52 . 70,380 a-urea,+ a-urea,
"-12 , 8  6.31",a . so,0 . 7 2,29 . 90,91 . 50,7 .80,63 . 7 9,649,urea + ice,
+2 . 0  5 . 48,5.80,o . 7 2,39 . 20,54 . 20,11 . 79,55.32,442 a-urea,+ a-urea,
"-10 , 8  0",0,o . oo,"33 , 30",100,8 . 20,67 . oo,676,urea + ice,
+22 . 5  0,0,o . oo,"53 , 30",100,19 . 00,46.70,292 a-urea,+ a-urea,
-2 . 4  11.7 0,100,0.9 7,0,0,0 . 00,88 .30,57 00,ice + KH,Po
-12 . 9  7 . 00,90 . 60,0 . 81,29 . 7 0,9 . 40,7 .81,63 . 30,643 ic e+urea+KH2Po4,,
