0,1,2,3,4,5,6,7,8,9,10
11.0 : 12d2o 8.15 0 . 76 o.ss,,0 . 40 1 . 98,,0 . 04 0. 18,,Na3Po 4 1,,,,
7 . 38 a . so,,2.81,,Q . 26,,"""",,,,
5 . 41 0 . 36,,4 . 43,,o . 4o,,"""",,,,
"4 .39 0 ,30",,5 . 93,,0.54,,"""",,,,
3.85 0 . 26,,7.60,,0 . 7 0,,"""",,,,
3 . 80 0.26,,9 . 12,,0 . 86,,"""",,,,
4 . 18 o.30,,10 . 45,,1.00,,"""",,,,
s.21 0 24.48 0.38 0.33,,12 . 05 12.26,,1 . 19 1 . 21,,"Na3P04 • 12H20 + 4Ua 0 •P o 4Na20 · P20 ,:v","o "" 30A",,· V20 s ·30H o,
3 . 23 0.24,,13 . 68,,1.35,,2 2 5,2 5,,2,
2 . 40 0. 17,,13 .81,,1 .35,,"""",,,,
1 . 26 0 . 09,,15.40,,1 . 52,,"""",,,,
"1 . 25 0,09",,16 . 82,,1 . 68,,I I,,,,
"1 . 03 0,08",,17.01,,1 . 70,,4Na o 2 0 • P 2 o 5 •v 2 o 5,•30H 2 0 +,,Navo,• zH 3 2
