0,1,2,3,4,5,6,7
Part 2 .,The compiler has calculated,the,,following r esults f rom,the data,in Part,1 .
,,+,,,,,
soln .,Na,+ K,,C l-,11 Po2 ;,,11 0 2
no .,mass%,mol/kg mass% mol/kg,,mass% mol/kg,mass%,mol/kg,mass%
1,7.44,4 . 78 6 . 90 2 . 60,,17 . 7 6 7 . 38,o . oo,o . oo,67 .88
2,"7 , 55",4 . 96 6 . 98 2 . 69,,17 . 31 7 .36,1 . 85,"0 , 29",66 . 31
3,7.67,"5 , 16 7 . 08 2 .80",,17 . 02 7 . 41,3 . 43,"0 , 55","64 , 78"
4,"7 , 65","5,19 7 , 00 2 , 78",,"16 . 50 7 , 24",4 . 54,"0 , 73",64 . 31
5,7 . 7 1,"5 . 25 6 , 89 2.7 5",,"1 6 , 32 7 , 19",5 . 01,0 .81,64 . 06
6,7 .88,5 . 41 6 .82  2 . 7 5,,16 . 33 7 . 2 6,5 . 50,0 . 90,63. 4 6
7,8 . 02,5 . 57 6 .95  2 .84,,16 . 58 7 .4 6,5.73,0 . 9 5,62 . 7 2
8,8 . 28,5 . 7 7 6 . 54 2 . 68,,16 . 40 7 . 4 0,6 .30,1 . 05,"62 , 48"
9,8 . 48,"6 , 00 6 . 68 2 . 7 7",,16 . 78 7 . 68,6 . 4 6,1 . 09,61. 60
10,"0 , 00","o . oo 15 , 19 5 . 61",,"12 , 73 5 . 18",2.82,0 . 4 2,"69 , 27"
11,1 . 66,"1 . 08 14 . 06 ,  5 . 38",,14 . 06 5 . 93,3 . 38,"0,53",66 .84
12,"2 , 68","1 .  74 12 , 48 4 . 7 6",,14.06 5 . 92,"3 , 79","0 , 59",66 . 99
13,4 .  7 1,3 . 15  10 . 44 4 . 10,,15 . 04 6 . 51,4 . 61,0 . 74,"65 , 20"
14,6 . 16,"4 . 09 8 , 19 3 . 19",,1 5 . 10 6 . 49,4 .97,o .  79,65 . 59
15,"7 , 28",4 .9 6  7 . 58 3.03,,1 5 . 52 6.84,5 . 63,"0 , 92",63.98
16,9 . 52,10 . 38 3 . 11 1.99,,o.oo o . oo,47.43,12 . 37,39 . 9 6
17,"9 , 82","10 . 63 3 , 09 1 . 96",,1.06 o .  7 5,4 5 .  7 7,11 . 84,4 0 . 2 6
18,10.53,"11 . 8 5  3 . 42 2 , 25",,3 . 01 2.19,"44 , 30","11 , 91","38 , 74"
19,"10 , 32","10 . 50  3 , 25 1 . 94",,4 . 43 2.9 2,39 . 16,9 . 52,42 .83
2 0,"10 , 06","9,56 3,32 1 .85",,5 . 67 3 . 49,"35 , 12",7 . 98,4 5 . 84
21,10 . 43,10 . 00 3 . 43 1 . 93,,"6 , 66 4 . 13",34.01,7.79,45 . 46
22,9 . 4 7,7 .81 3 . 16 1 . 53,,7 . 55 4 . 02,26.95,5.31,52 . 8 7
2 3,"9 ,  7 1",8 . 00 3 . 32 1 . 61,,8 . 61 4 . 59,25.48,5 . 02,52 .88
24,9.41,7 . 27 3 . 42 1 . 55,,9 . 93 4 .9 7,2 0 . 8 6,3.85,5 6 . 38
2 5,"9 , 54",7.12 4 . 06 1 . 78,,12 . 80 6 . 18,"15 , 20",2 . 7 1,58 . 40
26,"9 , 03","6 , 49 5 , 17 2 , 18",,"14 , 7 7  6 .88","10, 4 5",1 .80,6 0 . 58 '
27,"8 , 36","5 ,88 6 , 10 2 , 52",,l!> . 44 '  7 . 03,8 . 13,1 . 37,61 . 98
