0,1,2,3,4,5,6,7,8,9,10
12 . 00,1 . 70,0 . 96,----,----,----,9 . 93,1 . 520,,A,
15.46,2 . 3 1,1 . 3 3,2 . 68,0 . 91,0 . 52,9.60,1 . 49 5,,I I,
16 . 60,2 . 32,1 . 45,3 . 11,1 . 00,0 . 63,----,1.491,,I I,
18 . 11,2.83,1 . 63,3 . 7 7,1 . 3 2,0 . 78,9 . 85,-----,,I I,
18 . 95,2.92,1 . 74,4 . 46,1.59,0 . 94,9 . 47,1 . 487,,I I,
20.43,3 . 10,1 . 91,4.38,1 . 59,0 . 94,----,-----,,I I,
20 . 82,3 . 24,1 . 97,4 . 86,1 .  79,1 . 06,9 . 56,1 . 480,,I I,
23 . 82,2.83,2 . 38,5.84,2 . 24,1 . 34,9 . 44,1 . 47 7,A,+,B
19 . 81,3 . 01,1.90,6 . 68,2.50,1 . 47,9 . 19,1 . 464,,B,
19.44,2 . 99,1 . 85,6 .  7 6,2.51,1 . 48,----,1 . 468,,I I,
17 . 51,2 . 7 6,1 . 67,8.94,3 . 31,1.9 6,8 . 65,1 . 453,,I I,
16 . 28,2 . 64,1 . 58,11 . 3 0,4 . 21,2 . 52,----,-----,,I I,
15 . 89,2 . 59,1 . 57,12 . 82,4 . 83,2 . 9 1,7 . 7 7,1 . 442,B,+,C
12 . 80,1 . 9 6,1 . 15,8 . 9 6,3 . 10,1 . 85,7 . 47,1 . 429,,C,
11 . 00,1 . 6 1,0 . 94,6 . 62,2 . 24,1 . 30,----,-----,,I I,
10 . 08,1.44,0 . 84,5. 7 5,1 . 92,1 . 10,6 . 18,1 . 395,,I I,
8 . 34,1 . 18,0 . 68,5.51,1 . 8 0,1.03,----,-----,,I I,
5.16,0 . 69,0 . 41,5 . 54,1 . 7 5,1 . 00,"5 , 69",1 . 382,,I I,
4 . 24,0 . 58,0.3 3,5 . 3 7,1.60,1 . 15,5 . 32,1 . 374,,I I,
0,0,0,5 . 00,1 . 50,0.85,4 . 10,1 . 340,,I I,
