0,1,2,3,4,5,6,7
38 . 7,"5 , 26",----,----,62 . 3,NaH/0 • 2H,,0.0
"37 , 00","5 ,30",s.oo,0.90,58 . 0,I I4 2,,
"33 , 20","5 , 3",14 . 50,2 . 8,"52 , 3",I I,,
33 . 0,"5 , 8",19 . 6,4 . 2,4 7 . 4,I I,,
33.6,"6 , 9",2 5.7,6 . 5,4 0 . 7,I I,,
34 . S,"7 , 8",28 . 8,8 . 0,36 . 7,I I,,
36 . 9,10 . 5,"33 , 9",11 . 9,29.2,I I,,
"3 9 , 2","13 , 6","36 , 9",1 5 . 7,23.9,I I,,
3 7 . 9,"13 , 6",38.8,17 . 0,23 . 3,NaH/0 • /0,,
2 9 . 7,"10 , 1",4 5 . 8,"1 9 , 0",24 . 5,4 4,,
20 . 4,"7 , 2",5 5 . 9,24 . 1,23 . 7,I I,,
"17 , 8",6 . 8,60 . 4,28 . 3,21 . 8,I I,,
8.1,3 . 7,73 . 9,41 . 9,18 . 0,I I,,
5 . 4,2 . 8,78 . 6,"4 9 , 9",16 . 0,I I,,
"3,9",2 . 2,81 . 2,55 . 6,14 . 9,I I,,
