0,1,2,3,4,5,6,7,8,9,10
1 5 . 05,0.39 386 .8 ±,0 .2,1,,,,389 . 0 ±,,0 . 5,2 .2
1 1 0.09,0 . 82 3 85 . 6 ±,0 .1,2 1,,,,388 . 5  ±,,0 . 5,2 . 2
1 14 . 8,1.28 385 . 7  ±,0 . 1,2 1,,,,389 . 0  ±,,0 . 5,2 . 2
1 20 . 0,1 . 84 386 . 1  ±,0 .2,L 2,,,,388 . 9  ±,,0 . 2,2 . 2
1 25 . 0,2.4 5  LX 3 86 . 9  ±,0 . 4,,,,,388 . 7  ±,,0 . 5,2 . 2
1 29 5,3 . 07 38 7 8 ±,0 . 4,Ll,,,,3893.° ±,,0 . 5,2 . 2
1 33(1,Ll 3 . 62 389 a,,,,,,38 9,,,2 . 2
1 1 4 1 . 5,5 . 21 e,,e,,,,e,,,e
1 . 2 5 . 07,0 . 37 37 6 . 0  ±,0 . 3,1,,,,384 . 0 ±,,0 . 5,1 . 8
1 . 2 1 0 . 3,0 . 79 37 1 . 8 ±,0 . 2,2,,,,383 . 9  ±,,0 . 3,1 .8
1 . 2 15 . 1,1 . 23 37 1 . 0 ±,0 . 1,12 1,,,,±,,0 . 3,1 . 8
1 . 2 20.2,1 .  7 5  3 7 0 . 9  ±,0 . 2,2,,,,,,,
,,,,,,,384 . 9,,,
,,,1,,,,384 . 0  ±,,0 . 5,1 . 8
1.2 2 5 .1,2 .32 372 . 0  ±,0 . 2,L 2,,,,38 5 . 0  ±,,0 . 2,1 . 8
1 . 2 30.2,2 . 9 9  3 73.0 ±,0 . 1,LX,,,,384 . 5  ±,,0 . 5,1 .8
1 . 2  3 5/,3 . 74 3 74 . 9/,0 . 1,Ll,,,,385 . 1/,,0 . 1,1 . 8
1 . 2 3 9,4 . 42 384 . 5,,Ll,,,,384.5,,,1 . 8
