0,1,2,3,4,5,6,7,8,9,10,11
70,,4 . 62 2 . 12,8 . 81,6 .86,10 .35,5 . 22,,2 0 . 4 0  3. 77,,,55 .82
71,,3 . 37 2 . 11 10 . 24,,10 . 91,3 . 47,2 . 39,,42 . 10 10 . 63,,,40 .82
72,,"3 . 04 2 . 13 10 , 84",,12 .8 9,2 . 10,1 . 62,,4 7 . 42  13.36,,,36.59
,,,,temp .,.. 7 5 ° C,,,,,,
73,,9 . 54 4 .30,7 . 05,5 . 40,15 . 4 1,7 . 64,,11.28 2 . 05,,,56.7 2
7 4,,"4 . 40  3 , 66 10 .8 6",,15 . 34,1 .  7 0,1 . 55,,52 . 2 5 17.50,,,30 . 78
7 5,,9 . 58 3 . 96,7 . 02,4 . 94,18 .32,8 . 33,,3.25 0.54,,,6 1 .83
76,,15 . 65 6 .32,1 . 28,0 .88,14.08,6.2 6,,5 .  7 0 0 . 93,,,63 . 29
7 7,,13 . 58 5 . 67,3 . 27,2 . 32,14 . 78,6 . 7 9,,7 . 11 1 . 20,,,61 . 2 6
78,,8.50 3 . 91,7.43,5 . 82,13 . 7 9,6 . 98,,14 . 74 2.74,,,55 . 55
7 9,,7 . 67 3 . 68,7 . 87,"6 , 4 2",12 . 14,6 . 4 1,,19 . 04 3 . 68,,,53.28
8 0,,6.56 3.51,8.54,7 . 7 7,8 . 78,5 . 16,,28 . 25 6.09,,,4 7 . 8 5
81,,5 . 44 3 . 61,9 . 55,10 . 80,4.12,3.01,,42 . 39 11 . 35,,,38 . 4 9
82,,4 . 42 3 . 68,10 . 9 5,15 . 50,1 . 78,1. 63,,52.16 17 . 52,,,30.69
83,,13 . 14 5 . 24,3.61,2 . 4 5,16 . 50,7 . 24,,2 . 68 0 . 43,,,64 . 09
84,,2 . 4 0  0 . 92,9 .8 6,6.44,15.21,6.42,,5.94 0 . 9 2,,,"66 , 59"
85,,4 . 54 1 . 90,9 . 0 6,6 . 44,13 . 98,6 . 43,,11.25 1.9 0,,,61 . 17
8 6,,13 . 66 5 . 30,0 . 54,0 .36,9.46,4 . 03,,10 . 39 1 . 63,,,65.95
87,,10 . 61 4 . 27,2 . 4 5,1 . 68,7 . 68,3 . 40,,15 . 67 2 . 54,,,63 . 58
88,,10 . 07 4.27,1 .81,1.31,2.80,1.30,,24.98 4 . 27,,,60 . 33
89,,9 . 58 4 . 13,2 . 92,2.14,4.50,2.14,,23 . 76 4 . 13,,,59 . 24
,,,,temp .,""" 100 ° C",,,,,,
90,,11 . 20 6.03,6.86,6 . 28,12 . 92,7.64,,21 . 49 4 . 66,,,47.53
91,,6 . 06 6 . 57,11 . 05,20 . 38,1.36,1.62,,57.94 2 5 . 32,,,23 . 59
92,,11 .36 4 .  71,6 . 57,4 . 64,20 . 43,9 . 32,,0 0,,,61 . 64
93,,12 . 65 5.9 1,7 . 27,5 . 7 8,21 . 17,10 . 88,,4.18 o .  7 9,,,54 . 7 2
94,,11 . 33 5.32,6. 70,5 . 35,16 . 66,8.60,,10 . 85  2.05,,,54 . 47
9 5,,10.53 5 . 98,7 . 18,6 . 93,11.08,6 . 91,,2 6 . 13 5.98,,,45 . 08
96,,9 . 68 5.85,7 . 57,7.7 9,8 . 94,5 . 94,,31 . 49  7 . 67,,,42 . 31
97,,8 . 54 6 . 09,8 . 48,10 . 29,5 . 55,4 . 35,,41 . 57 11. 9 5,,,35.8 5
98,,7 . 7 1 6 . 08,9 . 09,12.20,3.81,3 . 30,,4 6 . 96  14 . 93,,,32 . 42
99,,7 . 63 6 . 36,9 . 33,13 . 24,3.28,3 . 01,,49 . 13 16.53,,,30 . 64
100,,6 . 52 6.78,10 . 66,18 . 83,1 . 52,1 . 74,,56 . 69 23 . 7 5,,,24.60
101,,6.16 6 . 50,10 . 90,19.56,1 . 48,1 . 7 1,,57.21 24 . 32,,,24 . 2 5
art,3.0,The points of simultaneous crystall izat ion,,,,of,NaCl,+ KH o. 2 Po 4 + NaH 2 Po,4.0,,· xH 2
,,soln .,,,,,,,,,
,,no . :t./ 0 c,,eq% H +,eq%,Cl-,,X,,,
,,102 0,10.40,2 5.25,62 . 16,,,598 . 7 2,,,
,,103 12.5,8.52,36 . 7 7,4 4 . 93,,,4 7 5 . 0  2,,,
,,104 2 5,6 . 38,51 .88,22 . 23,,,303 . 6  2,,,
,,105 30,5 . 47,57.33,14 . 00,,,239 . 0  2,,,
,,106  35,4 . 98,61 . 16,8 . 33,,,18 6 . 3  2,,,
,,107  40,4 .8 5,62.60,5.99,,,163.1 1,,,
,,108 45,5 . 00,63 . 59,4 . 7 5,,,145 . 7  1,,,
,,109 50,5.01,64 . 08,3 . 8 6,,,131 . 9  0,,,
,,110 7 5,6. 7 7,64 .85,2 .88,,,102 . 8  0,,,
,,111 100,8 . 4 7,65.2 7,2 . 10,,,7 1 . 6,6.0,,
