0,1,2,3,4,5,6,7,8,9
0 . 3083,----,0 . 3 08,10 . 29,----,89 . 71,4 . 3 5,,A,
0 . 3168,0 . 2 793,0 . 596,10 . 19,3 . 43,8 6 . 38,4 . 58,,I I,
0 . 3 221,0 . 4642,0 . 786,10 . 11,5 . 56,84 . 3 2,4 . 82,,I I,
0 . 3 2 21,0 . 5799,0 . 902,9 . 9 7,6 .8 6,83 . 17,4 . 87,,"""",
0 . 3309,o. 7872,1 . 12,9.97,9 . 06,80 . 9 7,5 . 02,,I I,
0 . 3564,0.9 237,1 . 28,10 . 50,10 . 3 9,79 . 11,5 . 2 5,A,+,B
0 . 3194,0.902 2,1 . 2 2,9 . 53,10 . 28,80 . 18,7 . 08,,B,
0 . 2412,0 .8972,1 . 15,7 . 38,10 . 48,8 2 . 15,7 . 89,,"""",
0 . 1 773,0 . 8793,1 . 06,5 . 54,10 . 50,83 . 96,8 . 68,,"""",
0 . 123 2,0 . 8828,1 . 01,3.92,10 . 7 1,8 5 . 37,8 . 94,,"""",
0.0501,0 . 8498,0 .851,1.64,10 . 60,87 . 7 6,9 . 27,,"""",
----,0 . 8335,0 . 834,----,10 . 59,89 . 4 1,9 . 3 3,,"""",
