0,1,2,3,4,5,6,7,8
b 21 . 88 1 . 9 7,----,----,Na,so,,,,
---- ----,"12 , 2780","0 ,85",2 Na3P04,,4b,,,
"20 , 7500 19 , 4120 1 .89 1 . 73","2 ,1023 1 . 78 60","0,17 0 . 14",Na 2 so ·4 Na 10H Po O + Na ' l2H3o,,Po 4,• 12H,2.0,o
"19 ,3920 1 . 7 3",1.7 97 0,0 .14,3 4,,2,,,
"15 , 6640 1 . 34","2 , 1920",0 .16,,,,,,
"15 , 6 600 1 . 34","2 , 2730","0 , 17",,,,,,
"13 , 5800 1 . 14","2,6500","0 , 19",,,,,,
"13,567 9  1 . 14","2 , 6190","0 ,19",,,,,,
"10 , 2530 0 , 84",3 .8140,"0 , 27",,,,,,
"10 , 29 60 0 .84",3.7 990,0 . 21,,,,,,
"7,4310 0 , 60",5 .1920,0 .36,,,,,,
"7 ,3830 0 , 60","5 , 2710","0 ,37",,,,,,
"4,4920 0 .36",6 . 9 630,o .48,,,,,,
"4 , 4318 0 ,35","7 , 0250","0 ,48",,,,,,
1 . 5130 0 .12,11.2200,"0 , 78",,,,,,
"1-. 4--5-70  -0-, -12-",10 . 672 10 . 613,"o . 74 0,72",""" I I",,,,,
