0,1,2,3,4,5,6,7,8,9
20 . 0  2 . 02 9 . 3 1,,"10 . 69 40 , 0",8 . 33,,ss . o,C +,,D,
20 . 0 2 . 20 9 . 31,,10 . 69 43 . 2,"9 , 78",,67 . o,C +,,D,
o . o o . o o . o,,o . o 56 . 0,10 . 60,,40 . 2,B +,,E,
1 .8 0 . 17 0.84,,0 . 9 6 55 . 0,"10 , 61",,43 . S,B +,,E,
4 . 7 5 0 . 45 2 . 21,,"2 , 54 52 . 5",10.23,,46 . 0,B +,,E,
a . o 0 .82 3 . 72,,4 . 28 52 . 44,11 . 04,,42 . 0,D +,,E,
a . o 0 .88 3 . 72,,"4 . 28 55 , 2",12 . 50,,so . s,D +,,E,
8 . 9  1 . 01 4.14,,4 .  7 6 ss . s,12 . 99,,49 D,+ E,,+,F
o . o  o . o o . o,,o . o  60 . 8,"12 , 92",,"57 , 2",E +,,F,
1 . 6  0 . 17 0 . 74,,0 . 86 60 . 0,13 . 02,,59 .8,E +,,F,
4 . 2  0 . 45  1 . 9 6,,2 . 24 58 . 0,12 . 78,,63 . S,E +,,F,
"11 . 25 1 . 35 5 , 24",,"6 . 01 55 , 0",13 . 58,,68.4,E +,,F,
"2 , Solub ility isotherms in",,the NH )4Hlo4 - (NH 4 o2HP04,-NaH l,,sys tem . 4 -u 2o,,,,
mixturca NH )4 H 2 Po 4,,(NH 4) 2 HP 04 NaH 2,Po 4,,H 2 0 (N,+,P,2,o 5
b,,,,,,,,,
b mass% mol/kg mas s%,,mass% b mass%,mol /kg b,,mas s%,mass%,,,
,,t emp .  -5 °a C,,,,,,,
o . o  o . o o . o,,o . o 3 5 . 4,4 . 56,,64 . 6,21 . 0,,,
"6 , 7 0 , 45 3 . 12",,3 . 58 33 . 0,4 . 56,,60 . 3,24 . S,,,
"12 , 0 o . 79 5 . 59",,6 . 41 26 . 4,3 . 57,,61.6,24 . S,,,
2 . 392 0 . 17 1 . 11,,1 . 28 40 . 2,S .83,,57 . 408,25 . S,,,
"22 , 0 1 . 43 10 . 24",,11 . 7 6 15 . 6,2 . 08,,62 . 4,25 . 6,,,
33 . 4 2 . 25 15 . 55,,17 . 8 5  6 . 66,0 . 92,,59 . 94,28 . 78,,,
"40 . 2  2 , 72 18 .  7 1",,21 . 48 o . o,o . o,,59 .8,29 . 9,,,
,,temp . a 0 °C,,,,,,,
o . o o . o  o . o,,o . o 37 . 6,5 . 02,,"62 , 4",22 .1,,,
14 . 0  0 . 94 6 . 51,,7 . 48 25 .8,3 . 57,,60 . 2,25 . S,,,
6 . 58 0 . 45 3 . 06,,3 . 52 34 . 2,4 .81,,59 . 22,26 . 2,,,
2 . 38 0 . 17 1 . 11,,1 .  27 41.87,6 . 26,,55 . 87,26 . 4,,,
24 . 4  1 . 63 11 . 3 6,,13 . 04 15 . 12,2 . 08,,60 . 48,27 . 1,,,
3 3 . 6  2 . 28 15 . 64,,17 . 96  6 . 64,0 . 92,,59 . 7 6,28 . 98,,,
42 . 6  3 . 00 19 . 83,,22 . 77  o . o,o . o,,57 . 4,31 . 6,,,
,,"temp , ""' 10 ° C",,,,,,,
o . o o . o o . o,,o . o 42 . 2,6 . 08,,57 .8,25 . 0,,,
"6 . 38 0 , 45 2 , 97",,3 . 41 3 6 . 2,5 . 25,,"57 , 42",2 6 . 24,,,
19 . 0 1 . 3 6  a . a s,,10 . 15 24 . 3,3 . 57,,56 . 7,28 . 63,,,
"29 . 0  2 . 0 6  13 , 50",,15 . 50 14 . 18,2 . 08,,"56,72",29 . 9,,,
2 . 28 0 . 17 1 . 06,,1 . 22 44 .8,7 . 05,,"52 , 992",28 . 29,,,
40 . 0 3 . 00 18 . 62,,21 . 38 6 . 0,0 . 92,,54 . 0,33 . 3 6,,,
4 7 . 0  3 . 59 21 . 88,,25 . 12 o . o,o . o,,"53 , 0",3 5 . 0,,,
