0,1,2,3,4,5,6,7,8,9
1.1634,249 .86,1834 . 9,21.48,2.00,----,----,0,0,78 . 52
1 . 17 20,220 . 02,1615.4,18 . 7 7,1 . 7 6,37 . 60,208 . 7,3 . 20,0 . 22,78.01
1.1 7 73,204 . 83,1504 . 3,17 . 39,1 . 64,59 .84,33 2 . 1,5 . 08,0.3 6,7 7. 51
1 . 1848,181 . 08,1329 . 8,15 . 28,1 . 45,92.10,511 . 3,7 . 7 7,0 . 56,7 6 . 94
1 . 1903,160.24,11 76 . 8,13 . 4 6,1 . 29,120 .80,6 70 . 6,10 . 14,0.7 3,7 6.38
1 . 19 7 1,137 . 61,1010 . 6,11.49,1 . 11,15 1 . 3 9,840.4,13 . 64,0 . 92,7 5 . 8 5
1 . 2004,111 . 36,8 15 . 6,9 . 2 7,0.89,179 . 74,997 . 8,14 . 97,1 . 09,7 5 . 74
1.199 9,80 . 89,594 . 7,6 . 7 4,0 . 65,205 . 69,114 1 . 6,17 . 13,1 . 25,7 6 . 11
1 . 2000,51 . 09,3 7 5 . 2,4.25,0 . 41,234 . 05,1299 . 3,19 . 50,1 . 42,7 6 . 23
1 . 2009,29 . 17,214 . 2,2 . 42,0 . 23,256 . 2 0,14 2 5 . 5,21 . 33,1 . 55,7 6 . 2 5
1 . 19 55,----,----,0,0,28 2 . 3 7,1567 . 5,23 . 61,1 . 7 1,7 6.3 9
